no,timestamp,teks,teks_processed,ground_truth_mean,ground_truth_scaled,sd_annotator,ground_truth_category,tokens,matched_words,unmatched_words,filtered_tokens,filtered_word_scores
10660,2018-07-14T03:06:09.000Z,Bangku bangku DPR kosong saat Rapat paripurna RAPBN ! Pertanyaannya apakah masih mau memilih wakil Rakyat yg seperti itu? PSI akan mengubah wajah DPR dengan orang orang yang bertanggung jawab,bangku bangku DPR kosong saat rapat paripurna RAPBN ! pertanyaannya apakah masih mau memilih wakil rakyat yang seperti itu ? PSI akan mengubah wajah DPR dengan orang orang yang bertanggung jawab,-2.8,-0.7,0.4472135954999578,negative,"['bangku', 'bangku', 'DPR', 'kosong', 'saat', 'rapat', 'paripurna', 'RAPBN', '!', 'pertanyaannya', 'apakah', 'masih', 'mau', 'memilih', 'wakil', 'rakyat', 'yang', 'seperti', 'itu', '?', 'PSI', 'akan', 'mengubah', 'wajah', 'DPR', 'dengan', 'orang', 'orang', 'yang', 'bertanggung', 'jawab']","['DPR', 'kosong', 'rapat', 'paripurna', 'RAPBN', 'masih', 'mau', 'wakil', 'rakyat', 'seperti', 'mengubah', 'DPR', 'orang', 'orang', 'jawab']","['bangku', 'bangku', 'saat', '!', 'pertanyaannya', 'apakah', 'memilih', '?', 'PSI', 'akan', 'wajah', 'dengan', 'bertanggung']","['bangku', 'bangku', 'kosong', 'saat', 'paripurna', 'RAPBN', '!', 'pertanyaannya', 'apakah', 'masih', 'mau', 'memilih', 'rakyat', 'seperti', '?', 'PSI', 'akan', 'mengubah', 'wajah', 'orang', 'orang', 'bertanggung', 'jawab']","[{'word': 'bangku', 'score': 0.0, 'matched': False}, {'word': 'bangku', 'score': 0.0, 'matched': False}, {'word': 'kosong', 'score': -3.2, 'matched': True}, {'word': 'saat', 'score': 0.0, 'matched': False}, {'word': 'paripurna', 'score': 0.0, 'matched': True}, {'word': 'RAPBN', 'score': 0.0, 'matched': True}, {'word': '!', 'score': 0.0, 'matched': False}, {'word': 'pertanyaannya', 'score': 0.0, 'matched': False}, {'word': 'apakah', 'score': 0.0, 'matched': False}, {'word': 'masih', 'score': -0.4, 'matched': True}, {'word': 'mau', 'score': 0.0, 'matched': True}, {'word': 'memilih', 'score': 0.0, 'matched': False}, {'word': 'rakyat', 'score': 0.0, 'matched': True}, {'word': 'seperti', 'score': -0.8, 'matched': True}, {'word': '?', 'score': 0.0, 'matched': False}, {'word': 'PSI', 'score': 0.0, 'matched': False}, {'word': 'akan', 'score': 0.0, 'matched': False}, {'word': 'mengubah', 'score': 0.0, 'matched': True}, {'word': 'wajah', 'score': 0.0, 'matched': False}, {'word': 'orang', 'score': 0.0, 'matched': True}, {'word': 'orang', 'score': 0.0, 'matched': True}, {'word': 'bertanggung', 'score': 0.0, 'matched': False}, {'word': 'jawab', 'score': 2.4000000000000004, 'matched': True}]"
10662,2018-07-13T16:27:50.000Z,Terimakasih kepada Kepala BPPT Tim Pansus RUU Sinas Iptek Komisi DPR RI Komisaris PT Garam Dirut dan Direksi PT Garam Pusyantek BPPT IABIE IKASMANSATAMA Smansa Magelang atas,terimakasih kepada kepala BPPT tim pansus RUU sinas iptek komisi DPR RI komisaris PT garam dirut dan direksi PT garam pusyantek BPPT IABIE IKASMANSATAMA smansa magelang atas,1.4,0.35,0.5477225575051661,positive,"['terimakasih', 'kepada', 'kepala', 'BPPT', 'tim', 'pansus', 'RUU', 'sinas', 'iptek', 'komisi', 'DPR', 'RI', 'komisaris', 'PT', 'garam', 'dirut', 'dan', 'direksi', 'PT', 'garam', 'pusyantek', 'BPPT', 'IABIE', 'IKASMANSATAMA', 'smansa', 'magelang', 'atas']","['terimakasih', 'kepada', 'kepala', 'BPPT', 'tim', 'pansus', 'RUU', 'komisi', 'DPR', 'RI', 'direksi', 'BPPT', 'magelang', 'atas']","['sinas', 'iptek', 'komisaris', 'PT', 'garam', 'dirut', 'dan', 'PT', 'garam', 'pusyantek', 'IABIE', 'IKASMANSATAMA', 'smansa']","['terimakasih', 'kepada', 'kepala', 'BPPT', 'tim', 'pansus', 'sinas', 'iptek', 'komisaris', 'PT', 'garam', 'dirut', 'direksi', 'PT', 'garam', 'pusyantek', 'BPPT', 'IABIE', 'IKASMANSATAMA', 'smansa', 'magelang', 'atas']","[{'word': 'terimakasih', 'score': 4.0, 'matched': True}, {'word': 'kepada', 'score': 0.0, 'matched': True}, {'word': 'kepala', 'score': 0.0, 'matched': True}, {'word': 'BPPT', 'score': 0.0, 'matched': True}, {'word': 'tim', 'score': 0.0, 'matched': True}, {'word': 'pansus', 'score': 0.0, 'matched': True}, {'word': 'sinas', 'score': 0.0, 'matched': False}, {'word': 'iptek', 'score': 0.0, 'matched': False}, {'word': 'komisaris', 'score': 0.0, 'matched': False}, {'word': 'PT', 'score': 0.0, 'matched': False}, {'word': 'garam', 'score': 0.0, 'matched': False}, {'word': 'dirut', 'score': 0.0, 'matched': False}, {'word': 'direksi', 'score': -2.4000000000000004, 'matched': True}, {'word': 'PT', 'score': 0.0, 'matched': False}, {'word': 'garam', 'score': 0.0, 'matched': False}, {'word': 'pusyantek', 'score': 0.0, 'matched': False}, {'word': 'BPPT', 'score': 0.0, 'matched': True}, {'word': 'IABIE', 'score': 0.0, 'matched': False}, {'word': 'IKASMANSATAMA', 'score': 0.0, 'matched': False}, {'word': 'smansa', 'score': 0.0, 'matched': False}, {'word': 'magelang', 'score': 0.0, 'matched': True}, {'word': 'atas', 'score': 0.0, 'matched': True}]"
10663,2018-07-13T15:14:32.000Z,Waduh msk org kampung sndiri gak tau sih masa reses ngapain aje? Ngetuit? Lg gak reses jg ngetuit? Mending jgn jd anggota DPR mas jd bajer aje,waduh masuk orang kampung sendiri tidak tau sih masa reses mengapai aje ? ngetuit ? lagi tidak reses juga ngetuit ? mending jangan jadi anggota DPR mas jadi bajer saja,-3.0,-0.75,0.7071067811865476,negative,"['waduh', 'masuk', 'orang', 'kampung', 'sendiri', 'tidak', 'tau', 'sih', 'masa', 'reses', 'mengapai', 'aje', '?', 'ngetuit', '?', 'lagi', 'tidak', 'reses', 'juga', 'ngetuit', '?', 'mending', 'jangan', 'jadi', 'anggota', 'DPR', 'mas', 'jadi', 'bajer', 'saja']","['waduh', 'masuk', 'orang', 'sendiri', 'tau', 'masa', 'reses', 'lagi', 'reses', 'mending', 'jadi', 'anggota', 'DPR', 'jadi', 'saja']","['kampung', 'sih', 'mengapai', 'aje', '?', 'ngetuit', '?', 'juga', 'ngetuit', '?', 'mas', 'bajer']","['waduh', 'masuk', 'orang', 'kampung', 'sendiri', 'tidak', 'tau', 'masa', 'reses', 'mengapai', 'aje', '?', 'ngetuit', '?', 'lagi', 'tidak', 'reses', 'juga', 'ngetuit', '?', 'mending', 'jangan', 'jadi', 'mas', 'jadi', 'bajer', 'saja']","[{'word': 'waduh', 'score': 2.4000000000000004, 'matched': True}, {'word': 'masuk', 'score': 0.0, 'matched': True}, {'word': 'orang', 'score': 0.0, 'matched': True}, {'word': 'kampung', 'score': 0.0, 'matched': False}, {'word': 'sendiri', 'score': -2.4000000000000004, 'matched': True}, {'word': 'tidak', 'score': -4.0, 'matched': True}, {'word': 'tau', 'score': -3.2, 'matched': True}, {'word': 'masa', 'score': 0.0, 'matched': True}, {'word': 'reses', 'score': 0.0, 'matched': True}, {'word': 'mengapai', 'score': 0.0, 'matched': False}, {'word': 'aje', 'score': 0.0, 'matched': False}, {'word': '?', 'score': 0.0, 'matched': False}, {'word': 'ngetuit', 'score': 0.0, 'matched': False}, {'word': '?', 'score': 0.0, 'matched': False}, {'word': 'lagi', 'score': -2.4000000000000004, 'matched': True}, {'word': 'tidak', 'score': -4.0, 'matched': True}, {'word': 'reses', 'score': 0.0, 'matched': True}, {'word': 'juga', 'score': 0.0, 'matched': False}, {'word': 'ngetuit', 'score': 0.0, 'matched': False}, {'word': '?', 'score': 0.0, 'matched': False}, {'word': 'mending', 'score': 1.6, 'matched': True}, {'word': 'jangan', 'score': -2.4000000000000004, 'matched': True}, {'word': 'jadi', 'score': 0.8, 'matched': True}, {'word': 'mas', 'score': 0.0, 'matched': False}, {'word': 'jadi', 'score': 0.8, 'matched': True}, {'word': 'bajer', 'score': 0.0, 'matched': False}, {'word': 'saja', 'score': -2.4000000000000004, 'matched': True}]"
10682,2018-07-12T06:56:31.000Z,yth adnggota dpr beginikah mencerminkan wakil rakyat ?,yth adnggota dpr beginikah mencerminkan wakil rakyat ?,-2.0,-0.5,0.7071067811865476,negative,"['yth', 'adnggota', 'dpr', 'beginikah', 'mencerminkan', 'wakil', 'rakyat', '?']","['dpr', 'wakil', 'rakyat']","['yth', 'adnggota', 'beginikah', 'mencerminkan', '?']","['yth', 'adnggota', 'beginikah', 'mencerminkan', 'rakyat', '?']","[{'word': 'yth', 'score': 0.0, 'matched': False}, {'word': 'adnggota', 'score': 0.0, 'matched': False}, {'word': 'beginikah', 'score': 0.0, 'matched': False}, {'word': 'mencerminkan', 'score': 0.0, 'matched': False}, {'word': 'rakyat', 'score': 0.0, 'matched': True}, {'word': '?', 'score': 0.0, 'matched': False}]"
10706,2018-07-10T07:16:17.000Z,Berikut berikut rekomendasi Fraksi Partai Gerindra di terkait Rancangan Undang Undang Tentang Pertanggungjawaban Atas Pelaksanaan Anggaran Pendapatan dan Belanja Negara Tahun Anggaran,berikut berikut rekomendasi fraksi partai gerindra di terkait rancangan undang undang tentang pertanggungjawaban atas pelaksanaan anggaran pendapatan dan belanja negara tahun anggaran,0.0,0.0,0.0,neutral,"['berikut', 'berikut', 'rekomendasi', 'fraksi', 'partai', 'gerindra', 'di', 'terkait', 'rancangan', 'undang', 'undang', 'tentang', 'pertanggungjawaban', 'atas', 'pelaksanaan', 'anggaran', 'pendapatan', 'dan', 'belanja', 'negara', 'tahun', 'anggaran']","['rekomendasi', 'fraksi', 'partai', 'gerindra', 'terkait', 'rancangan', 'undang', 'undang', 'tentang', 'pertanggungjawaban', 'atas', 'pelaksanaan', 'anggaran', 'pendapatan', 'belanja', 'negara', 'tahun', 'anggaran']","['berikut', 'berikut', 'di', 'dan']","['berikut', 'berikut', 'rekomendasi', 'gerindra', 'terkait', 'rancangan', 'tentang', 'pertanggungjawaban', 'atas', 'pelaksanaan', 'pendapatan', 'belanja', 'negara', 'tahun']","[{'word': 'berikut', 'score': 0.0, 'matched': False}, {'word': 'berikut', 'score': 0.0, 'matched': False}, {'word': 'rekomendasi', 'score': 0.0, 'matched': True}, {'word': 'gerindra', 'score': 0.0, 'matched': True}, {'word': 'terkait', 'score': -2.4000000000000004, 'matched': True}, {'word': 'rancangan', 'score': 0.0, 'matched': True}, {'word': 'tentang', 'score': 0.8, 'matched': True}, {'word': 'pertanggungjawaban', 'score': 0.0, 'matched': True}, {'word': 'atas', 'score': 0.0, 'matched': True}, {'word': 'pelaksanaan', 'score': 0.0, 'matched': True}, {'word': 'pendapatan', 'score': 1.6, 'matched': True}, {'word': 'belanja', 'score': 1.6, 'matched': True}, {'word': 'negara', 'score': 0.0, 'matched': True}, {'word': 'tahun', 'score': 0.0, 'matched': True}]"
10726,2018-07-09T03:40:00.000Z,KLU TOH FRAKSI ANDA TDK MENYETUJUI UU ITU KAN BUKAN BERARTI MEMBOHONGI RAKYAT KRN RUU TDK AKAN BISA MENJADI UU APABILA TDK DISETUJUI OLEH MAYORITAS FRAKSI anggota DPR di sidang Paripurna bukan ? JADI TLG HARGAI JUGA HAK KOLEGA ANDA YG SETUJU,JIKA TOH FRAKSI ANDA TIDAK MENYETUJUI UU ITU KAN BUKAN BERARTI MEMBOHONGI RAKYAT KARENA RUU TIDAK AKAN BISA MENJADI UU APABILA TIDAK DISETUJUI OLEH MAYORITAS FRAKSI anggota DPR di sidang paripurna bukan ? JADI TOLONG HARGAI JUGA HAK KOLEGA ANDA YANG SETUJU,-0.2,-0.05,0.447213595499958,negative,"['JIKA', 'TOH', 'FRAKSI', 'ANDA', 'TIDAK', 'MENYETUJUI', 'UU', 'ITU', 'KAN', 'BUKAN', 'BERARTI', 'MEMBOHONGI', 'RAKYAT', 'KARENA', 'RUU', 'TIDAK', 'AKAN', 'BISA', 'MENJADI', 'UU', 'APABILA', 'TIDAK', 'DISETUJUI', 'OLEH', 'MAYORITAS', 'FRAKSI', 'anggota', 'DPR', 'di', 'sidang', 'paripurna', 'bukan', '?', 'JADI', 'TOLONG', 'HARGAI', 'JUGA', 'HAK', 'KOLEGA', 'ANDA', 'YANG', 'SETUJU']","['FRAKSI', 'MENYETUJUI', 'UU', 'BERARTI', 'MEMBOHONGI', 'RAKYAT', 'RUU', 'UU', 'DISETUJUI', 'MAYORITAS', 'FRAKSI', 'anggota', 'DPR', 'sidang', 'paripurna', 'JADI', 'TOLONG', 'HARGAI', 'HAK', 'SETUJU']","['JIKA', 'TOH', 'KAN', 'AKAN', 'BISA', 'MENJADI', 'APABILA', 'di', '?', 'JUGA', 'KOLEGA']","['TOH', 'TIDAK', 'MENYETUJUI', 'UU', 'BUKAN', 'BERARTI', 'MEMBOHONGI', 'RAKYAT', 'TIDAK', 'AKAN', 'BISA', 'MENJADI', 'UU', 'APABILA', 'TIDAK', 'DISETUJUI', 'MAYORITAS', 'paripurna', 'bukan', '?', 'JADI', 'TOLONG', 'HARGAI', 'JUGA', 'HAK', 'KOLEGA', 'SETUJU']","[{'word': 'TOH', 'score': 0.0, 'matched': False}, {'word': 'TIDAK', 'score': -4.0, 'matched': True}, {'word': 'MENYETUJUI', 'score': 0.0, 'matched': True}, {'word': 'UU', 'score': 0.0, 'matched': True}, {'word': 'BUKAN', 'score': -2.4000000000000004, 'matched': True}, {'word': 'BERARTI', 'score': 0.8, 'matched': True}, {'word': 'MEMBOHONGI', 'score': -2.4000000000000004, 'matched': True}, {'word': 'RAKYAT', 'score': 0.0, 'matched': True}, {'word': 'TIDAK', 'score': -4.0, 'matched': True}, {'word': 'AKAN', 'score': 0.0, 'matched': False}, {'word': 'BISA', 'score': 0.0, 'matched': False}, {'word': 'MENJADI', 'score': 0.0, 'matched': False}, {'word': 'UU', 'score': 0.0, 'matched': True}, {'word': 'APABILA', 'score': 0.0, 'matched': False}, {'word': 'TIDAK', 'score': -4.0, 'matched': True}, {'word': 'DISETUJUI', 'score': 0.0, 'matched': True}, {'word': 'MAYORITAS', 'score': 0.0, 'matched': True}, {'word': 'paripurna', 'score': 0.0, 'matched': True}, {'word': 'bukan', 'score': -2.4000000000000004, 'matched': True}, {'word': '?', 'score': 0.0, 'matched': False}, {'word': 'JADI', 'score': 0.8, 'matched': True}, {'word': 'TOLONG', 'score': 2.4000000000000004, 'matched': True}, {'word': 'HARGAI', 'score': 0.4, 'matched': True}, {'word': 'JUGA', 'score': 0.0, 'matched': False}, {'word': 'HAK', 'score': 0.0, 'matched': True}, {'word': 'KOLEGA', 'score': 0.0, 'matched': False}, {'word': 'SETUJU', 'score': 0.4, 'matched': True}]"
10786,2018-07-03T07:43:37.000Z,Pernyataan Presiden Joko Widodo Jokowi yang mengatakan jika Komisi Pemilihan Umum KPU diberikan kewenangan oleh Undang Undang untuk membuat peraturan mendapat tanggapan keras dari Ketua DPR RI Bambang Soesatyo Jokowi DPR,pernyataan presiden joko widodo jokowi yang mengatakan jika komisi pemilihan umum KPU diberikan kewenangan oleh undang undang untuk membuat peraturan mendapat tanggapan keras dari ketua DPR RI bambang soesatyo jokowi DPR,-0.4,-0.1,0.5477225575051662,negative,"['pernyataan', 'presiden', 'joko', 'widodo', 'jokowi', 'yang', 'mengatakan', 'jika', 'komisi', 'pemilihan', 'umum', 'KPU', 'diberikan', 'kewenangan', 'oleh', 'undang', 'undang', 'untuk', 'membuat', 'peraturan', 'mendapat', 'tanggapan', 'keras', 'dari', 'ketua', 'DPR', 'RI', 'bambang', 'soesatyo', 'jokowi', 'DPR']","['presiden', 'jokowi', 'mengatakan', 'komisi', 'pemilihan', 'umum', 'KPU', 'kewenangan', 'undang', 'undang', 'membuat', 'peraturan', 'mendapat', 'tanggapan', 'ketua', 'DPR', 'RI', 'jokowi', 'DPR']","['pernyataan', 'joko', 'widodo', 'jika', 'diberikan', 'untuk', 'keras', 'bambang', 'soesatyo']","['pernyataan', 'joko', 'widodo', 'jokowi', 'mengatakan', 'pemilihan', 'umum', 'KPU', 'diberikan', 'kewenangan', 'membuat', 'peraturan', 'mendapat', 'tanggapan', 'keras', 'bambang', 'soesatyo', 'jokowi']","[{'word': 'pernyataan', 'score': 0.0, 'matched': False}, {'word': 'joko', 'score': 0.0, 'matched': False}, {'word': 'widodo', 'score': 0.0, 'matched': False}, {'word': 'jokowi', 'score': 0.0, 'matched': True}, {'word': 'mengatakan', 'score': 2.4000000000000004, 'matched': True}, {'word': 'pemilihan', 'score': 0.0, 'matched': True}, {'word': 'umum', 'score': 0.8, 'matched': True}, {'word': 'KPU', 'score': 0.0, 'matched': True}, {'word': 'diberikan', 'score': 0.0, 'matched': False}, {'word': 'kewenangan', 'score': 0.0, 'matched': True}, {'word': 'membuat', 'score': 0.8, 'matched': True}, {'word': 'peraturan', 'score': 0.0, 'matched': True}, {'word': 'mendapat', 'score': 2.4000000000000004, 'matched': True}, {'word': 'tanggapan', 'score': 2.4000000000000004, 'matched': True}, {'word': 'keras', 'score': 0.0, 'matched': False}, {'word': 'bambang', 'score': 0.0, 'matched': False}, {'word': 'soesatyo', 'score': 0.0, 'matched': False}, {'word': 'jokowi', 'score': 0.0, 'matched': True}]"
10794,2019-12-30T15:11:17.000Z,Warga Sangatta Selatan Antusias Hadiri Reses Anggota DPR RI,warga sangatta selatan antusias hadiri reses anggota DPR RI,0.8,0.2,0.447213595499958,positive,"['warga', 'sangatta', 'selatan', 'antusias', 'hadiri', 'reses', 'anggota', 'DPR', 'RI']","['warga', 'selatan', 'antusias', 'hadiri', 'reses', 'anggota', 'DPR', 'RI']",['sangatta'],"['warga', 'sangatta', 'selatan', 'antusias', 'hadiri', 'reses']","[{'word': 'warga', 'score': 0.0, 'matched': True}, {'word': 'sangatta', 'score': 0.0, 'matched': False}, {'word': 'selatan', 'score': 0.0, 'matched': True}, {'word': 'antusias', 'score': 1.6, 'matched': True}, {'word': 'hadiri', 'score': 0.0, 'matched': True}, {'word': 'reses', 'score': 0.0, 'matched': True}]"
10795,2019-12-30T15:04:18.000Z,JOURNAL RESES DPR RI WARGA DESAK TETI NYALON BUPATI CILACAP via,JOURNAL RESES DPR RI WARGA DESAK TETI NYALON BUPATI CILACAP via,0.0,0.0,0.0,neutral,"['JOURNAL', 'RESES', 'DPR', 'RI', 'WARGA', 'DESAK', 'TETI', 'NYALON', 'BUPATI', 'CILACAP', 'via']","['RESES', 'DPR', 'RI', 'WARGA', 'DESAK', 'BUPATI']","['JOURNAL', 'TETI', 'NYALON', 'CILACAP', 'via']","['JOURNAL', 'RESES', 'WARGA', 'DESAK', 'TETI', 'NYALON', 'BUPATI', 'CILACAP', 'via']","[{'word': 'JOURNAL', 'score': 0.0, 'matched': False}, {'word': 'RESES', 'score': 0.0, 'matched': True}, {'word': 'WARGA', 'score': 0.0, 'matched': True}, {'word': 'DESAK', 'score': -0.24, 'matched': True}, {'word': 'TETI', 'score': 0.0, 'matched': False}, {'word': 'NYALON', 'score': 0.0, 'matched': False}, {'word': 'BUPATI', 'score': 0.0, 'matched': True}, {'word': 'CILACAP', 'score': 0.0, 'matched': False}, {'word': 'via', 'score': 0.0, 'matched': False}]"
10827,2019-12-29T06:36:14.000Z,Tak hanya soal RUU KPK sejumlah pihak turut memberi sorotan terhadap figur Firli Bahuri yang kini menjabat sebagai Ketua Ia diduga pernah melakukan pelanggaran etik saat masih menjabat sebagai Deputi Penindakan KPK CNNIndonesia,tak hanya soal RUU KPK sejumlah pihak turut memberi sorotan terhadap figur firli bahuri yang kini menjabat sebagai ketua ia diduga pernah melakukan pelanggaran etik saat masih menjabat sebagai deputi penindakan KPK cnnindonesia,-1.0,-0.25,0.7071067811865476,negative,"['tak', 'hanya', 'soal', 'RUU', 'KPK', 'sejumlah', 'pihak', 'turut', 'memberi', 'sorotan', 'terhadap', 'figur', 'firli', 'bahuri', 'yang', 'kini', 'menjabat', 'sebagai', 'ketua', 'ia', 'diduga', 'pernah', 'melakukan', 'pelanggaran', 'etik', 'saat', 'masih', 'menjabat', 'sebagai', 'deputi', 'penindakan', 'KPK', 'cnnindonesia']","['hanya', 'soal', 'RUU', 'KPK', 'sejumlah', 'pihak', 'turut', 'memberi', 'sorotan', 'figur', 'kini', 'menjabat', 'sebagai', 'ketua', 'diduga', 'pelanggaran', 'etik', 'masih', 'menjabat', 'sebagai', 'deputi', 'penindakan', 'KPK']","['tak', 'terhadap', 'firli', 'bahuri', 'ia', 'pernah', 'melakukan', 'saat', 'cnnindonesia']","['tak', 'hanya', 'soal', 'KPK', 'sejumlah', 'pihak', 'turut', 'memberi', 'sorotan', 'terhadap', 'figur', 'firli', 'bahuri', 'kini', 'menjabat', 'sebagai', 'ia', 'diduga', 'pernah', 'melakukan', 'pelanggaran', 'etik', 'saat', 'masih', 'menjabat', 'sebagai', 'deputi', 'penindakan', 'KPK', 'cnnindonesia']","[{'word': 'tak', 'score': 0.0, 'matched': False}, {'word': 'hanya', 'score': -2.4000000000000004, 'matched': True}, {'word': 'soal', 'score': -0.8, 'matched': True}, {'word': 'KPK', 'score': 0.0, 'matched': True}, {'word': 'sejumlah', 'score': 0.0, 'matched': True}, {'word': 'pihak', 'score': 0.0, 'matched': True}, {'word': 'turut', 'score': -2.4000000000000004, 'matched': True}, {'word': 'memberi', 'score': 1.6, 'matched': True}, {'word': 'sorotan', 'score': -0.24, 'matched': True}, {'word': 'terhadap', 'score': 0.0, 'matched': False}, {'word': 'figur', 'score': 2.4000000000000004, 'matched': True}, {'word': 'firli', 'score': 0.0, 'matched': False}, {'word': 'bahuri', 'score': 0.0, 'matched': False}, {'word': 'kini', 'score': 2.4000000000000004, 'matched': True}, {'word': 'menjabat', 'score': 0.0, 'matched': True}, {'word': 'sebagai', 'score': -2.4000000000000004, 'matched': True}, {'word': 'ia', 'score': 0.0, 'matched': False}, {'word': 'diduga', 'score': 0.0, 'matched': True}, {'word': 'pernah', 'score': 0.0, 'matched': False}, {'word': 'melakukan', 'score': 0.0, 'matched': False}, {'word': 'pelanggaran', 'score': -1.4400000000000002, 'matched': True}, {'word': 'etik', 'score': 0.0, 'matched': True}, {'word': 'saat', 'score': 0.0, 'matched': False}, {'word': 'masih', 'score': -0.4, 'matched': True}, {'word': 'menjabat', 'score': 0.0, 'matched': True}, {'word': 'sebagai', 'score': -2.4000000000000004, 'matched': True}, {'word': 'deputi', 'score': 0.0, 'matched': True}, {'word': 'penindakan', 'score': 0.0, 'matched': True}, {'word': 'KPK', 'score': 0.0, 'matched': True}, {'word': 'cnnindonesia', 'score': 0.0, 'matched': False}]"
10853,2019-12-27T05:57:26.000Z,Kakanwil BPN Provinsi Sumatera Selatan Bpk H Muchtar SH MM menerima kunjungan kerja reses Bpk H Wahyu Sanjaya SE selaku Anggota DPR RI Komisi II Bidang Pemerintahan Dalam Negeri Otonomi Daerah Aparatur Negara Reformasi Birokrasi Kepemiluan Pertanahan dan Reforma Agraria,kakanwil BPN provinsi sumatera selatan bpk h muchtar SH MM menerima kunjungan kerja reses bpk h wahyu sanjaya SE selaku anggota DPR RI komisi II bidang pemerintahan dalam negeri otonomi daerah aparatur negara reformasi birokrasi kepemiluan pertanahan dan reforma agraria,0.0,0.0,0.0,neutral,"['kakanwil', 'BPN', 'provinsi', 'sumatera', 'selatan', 'bpk', 'h', 'muchtar', 'SH', 'MM', 'menerima', 'kunjungan', 'kerja', 'reses', 'bpk', 'h', 'wahyu', 'sanjaya', 'SE', 'selaku', 'anggota', 'DPR', 'RI', 'komisi', 'II', 'bidang', 'pemerintahan', 'dalam', 'negeri', 'otonomi', 'daerah', 'aparatur', 'negara', 'reformasi', 'birokrasi', 'kepemiluan', 'pertanahan', 'dan', 'reforma', 'agraria']","['kakanwil', 'BPN', 'provinsi', 'sumatera', 'selatan', 'bpk', 'menerima', 'kunjungan', 'kerja', 'reses', 'bpk', 'wahyu', 'anggota', 'DPR', 'RI', 'komisi', 'II', 'pemerintahan', 'dalam', 'negeri', 'otonomi', 'daerah', 'aparatur', 'negara', 'reformasi', 'birokrasi', 'kepemiluan', 'pertanahan', 'reforma', 'agraria']","['h', 'muchtar', 'SH', 'MM', 'h', 'sanjaya', 'SE', 'selaku', 'bidang', 'dan']","['kakanwil', 'BPN', 'provinsi', 'sumatera', 'selatan', 'bpk', 'h', 'muchtar', 'SH', 'MM', 'menerima', 'kunjungan', 'kerja', 'reses', 'bpk', 'h', 'wahyu', 'sanjaya', 'SE', 'selaku', 'II', 'bidang', 'pemerintahan', 'dalam', 'negeri', 'otonomi', 'aparatur', 'negara', 'reformasi', 'birokrasi', 'kepemiluan', 'pertanahan', 'reforma', 'agraria']","[{'word': 'kakanwil', 'score': 0.0, 'matched': True}, {'word': 'BPN', 'score': 0.0, 'matched': True}, {'word': 'provinsi', 'score': 0.0, 'matched': True}, {'word': 'sumatera', 'score': 0.0, 'matched': True}, {'word': 'selatan', 'score': 0.0, 'matched': True}, {'word': 'bpk', 'score': 0.0, 'matched': True}, {'word': 'h', 'score': 0.0, 'matched': False}, {'word': 'muchtar', 'score': 0.0, 'matched': False}, {'word': 'SH', 'score': 0.0, 'matched': False}, {'word': 'MM', 'score': 0.0, 'matched': False}, {'word': 'menerima', 'score': 2.4000000000000004, 'matched': True}, {'word': 'kunjungan', 'score': 0.0, 'matched': True}, {'word': 'kerja', 'score': 1.6, 'matched': True}, {'word': 'reses', 'score': 0.0, 'matched': True}, {'word': 'bpk', 'score': 0.0, 'matched': True}, {'word': 'h', 'score': 0.0, 'matched': False}, {'word': 'wahyu', 'score': 3.2, 'matched': True}, {'word': 'sanjaya', 'score': 0.0, 'matched': False}, {'word': 'SE', 'score': 0.0, 'matched': False}, {'word': 'selaku', 'score': 0.0, 'matched': False}, {'word': 'II', 'score': 0.0, 'matched': True}, {'word': 'bidang', 'score': 0.0, 'matched': False}, {'word': 'pemerintahan', 'score': 0.0, 'matched': True}, {'word': 'dalam', 'score': 2.4000000000000004, 'matched': True}, {'word': 'negeri', 'score': 0.0, 'matched': True}, {'word': 'otonomi', 'score': 0.0, 'matched': True}, {'word': 'aparatur', 'score': 0.0, 'matched': True}, {'word': 'negara', 'score': 0.0, 'matched': True}, {'word': 'reformasi', 'score': 0.0, 'matched': True}, {'word': 'birokrasi', 'score': 0.0, 'matched': True}, {'word': 'kepemiluan', 'score': 0.0, 'matched': True}, {'word': 'pertanahan', 'score': 0.0, 'matched': True}, {'word': 'reforma', 'score': 0.0, 'matched': True}, {'word': 'agraria', 'score': 0.0, 'matched': True}]"
