no,timestamp,teks,teks_processed,sentiment,compound_score
8329,2017-01-24T02:29:50.000Z,Nah! Kebijakan bermutu bermanfaat perlindungan bangsa,nah ! kebijakan bermutu bermanfaat perlindungan bangsa,positive,0.7602162573741901
8336,2017-01-24T00:04:09.000Z,Selamat pagi Jadwal Rapat Selasa Januari RAPAT PARIPURNA DPR RI KE MS III TS Pukul,selamat pagi jadwal rapat selasa januari RAPAT PARIPURNA DPR RI KE MASIH II TS pukul,positive,0.5765606074399332
8389,2017-01-16T11:46:42.000Z,Wakhhhh masih belum juga Giliran antrian yaa ?,wakhh masih belum juga giliran antrian ya ?,negative,-0.4898245968833601
8553,2018-12-29T00:14:21.000Z,Udah seharusnya gtu mbak jgn lagi ada wakil rakyat yg sukanya ngeHoax Bukan sibuk ngurusi RUU ini malah sibuk ngurusi kepentingan parpol dan Perutnya SenayanGantiPolaPikir,sudah seharusnya begitu mbak jangan lagi ada wakil rakyat yang sukanya ngehoax bukan sibuk ngurusi RUU ini malah sibuk ngurusi kepentingan parpol dan perutnya senayangantipolapikir,negative,-0.7644159053003667
8558,2018-12-28T10:54:52.000Z,Sebuah NGO berikrar mengadakan kempen bergerak seluruh negara untuk menyemarakkan sokongan orang ramai bagi petisyen Penggubalan Undang Undang Anti Lompat dan Peruntukan Kewangan Setara Wakil Rakyat Pengerusi,sebuah NGO berikrar mengadakan kempen bergerak seluruh negara untuk menyemarakkan sokongan orang ramai bagi petisyen penggubalan undang undang anti lompat dan peruntukan kewangan setara wakil rakyat pengerusi,positive,0.7506303133284344
8588,2018-12-24T10:41:22.000Z,Ga punya buktinya ga faham alur kebijakan Negara yg melibatkan Parpol Legislatornya itu aja dah ketahuan Anggota DPR yg suka nyinyir OTAKNYA MATI krn mrk sama sling menyetujui trus Anggota DPR yg tolol personal pada protes Artinya banyak Anggota DPR Goblok bin Tolol,tidak punya buktinya tidak faham alur kebijakan negara yang melibatkan parpol legislatornya itu saja deh ketahuan anggota DPR yang suka nyinyir OTAKNYA MATI karena mereka sama saling menyetujui terus anggota DPR yang tolol personal pada protes artinya banyak anggota DPR goblok bin tolol,negative,-0.9773150286742279
8592,2018-12-24T09:04:26.000Z,this NGO rakyat dah menyampah,this NGO rakyat deh menyampah,negative,-0.712522343841055
8621,2018-12-21T21:19:08.000Z,UU ITE? Dari DPR RI UU Tipikor? Dari DPR RI RUU Pesantren dan Pendidikan Agama CMIIW ? Dari DPR RI juga Mulai sadar yg bikin kacau negara siapa?,UU ITE ? dari DPR RI UU tipikor ? dari DPR RI RUU pesantren dan pendidikan agama CMIIW ? dari DPR RI juga mulai sadar yang bikin kacau negara siapa ?,negative,-0.7574343482775525
8622,2018-12-21T21:19:07.000Z,Anggota DPR RI tuh ada orang semua dipilih langsung oleh masyarakat atau dari partai dan mereka yang juga ikut serta menjalankan negara ini lewat fungsi legislatif Mereka yang bikin hukum dan undang undang coy!!,anggota DPR RI tuh ada orang semua dipilih langsung oleh masyarakat atau dari partai dan mereka yang juga ikut serta menjalankan negara ini lewat fungsi legislatif mereka yang bikin hukum dan undang undang coy ! !,positive,0.6988421622775413
8640,2018-12-20T12:00:33.000Z,RUU PKS apa kabar????,RUU PKS apa kabar ? ?,positive,0.6477585189201407
8726,2018-12-15T04:22:41.000Z,Wakil Ketua Komisi VIII DPR RI Tubagus Ace Hasan mengatakan DPR siap melaksanakan putusan MK untuk mengubah Undang Undang Perkawinan dengan tenggat waktu tiga tahun Namun ia belum bisa memastikan kapan pembahasan revisi UU tersebut bisa selesai InfoSonora,wakil ketua komisi VII DPR RI tubagus ace hasan mengatakan DPR siap melaksanakan putusan MAKA untuk mengubah undang undang perkawinan dengan tenggat waktu tiga tahun tetapi ia belum bisa memastikan kapan pembahasan revisi UU tersebut bisa selesai infosonora,positive,0.7739149202363939
8747,2018-12-14T04:45:46.000Z,MK Kabulkan Gugatan Batas Usia DPR Diminta Segera Revisi UU Perkawinan Usia minimal perkawinan itu harus diharmonisasikan dengan usia anak dalam undang undang perlindungan anak PerkawinanAnak,MAKA kabulkan gugatan batas usia DPR diminta segera revisi UU perkawinan usia minimal perkawinan itu harus diharmonisasikan dengan usia anak dalam undang undang perlindungan anak perkawinananak,negative,-0.9737241937273559
8762,2018-12-13T12:28:34.000Z,Mahkamah Konstitusi MK memberi tenggat waktu tiga tahun kepada DPR RI untuk mengubah ketentuan batas usia menikah yang diatur dalam Pasal Ayat Undang Undang UU Nomor Tahun,mahkamah konstitusi MAKA memberi tenggat waktu tiga tahun kepada DPR RI untuk mengubah ketentuan batas usia menikah yang diatur dalam pasal ayat undang undang UU nomor tahun,positive,0.5267415375673765
8770,2018-12-13T10:26:58.000Z,kom Penanya mahasiswa IPB ttg kebijakan impor ketergantungan impor merupakan kebijakan yg ada setiap tahun dmn komoditas pangan impor nah yg ingin sy tanyakan kpd anggota DPR apakah impor memang perlu dilakukan?,kom penanya mahasiswa IPB tentang kebijakan impor ketergantungan impor merupakan kebijakan yang ada setiap tahun dimana komoditas pangan impor nah yang ingin saya tanyakan kepada anggota DPR apakah impor memang perlu dilakukan ?,positive,0.8224628936244653
8823,2018-12-10T10:15:31.000Z,Korupsi yang melibatkan banyak wakil rakyat selain di Sumatera Utara juga terjadi di Kota Malang Jawa Timur Sebanyak dari anggota DPRD Kota Malang terjerat kasus korupsi pengesahan APBD HariAntiKorupsi,korupsi yang melibatkan banyak wakil rakyat selain di sumatera utara juga terjadi di kota malang jawa timur sebanyak dari anggota DPRD kota malang terjerat kasus korupsi pengesahan APBD hariantikorupsi,negative,-0.9705366953437798
8827,2018-12-10T09:12:02.000Z,pilih wakil rakyat gak cukup krn populeritas mereka apalgi mereka artis blm pernah terbukti wakil rakyat dri artis mereka bisa memahami aspirasi rakyat pilih wakil yg cerdas dan berkualitas serta muslim dan soleh kaya bang fahri dan uni fahira idris,pilih wakil rakyat tidak cukup karena populeritas mereka apalagi mereka artis belum pernah terbukti wakil rakyat dari artis mereka bisa memahami aspirasi rakyat pilih wakil yang cerdas dan berkualitas serta muslim dan soleh seperti bang fahri dan uni fahira idris,positive,0.8549666853018318
8843,2018-12-09T10:53:48.000Z,Alasan reses kerap digunakan oleh para anggota DPR RI atas rendahnya kinerja mereka dan atas seringnya terjadi bolos hampir disetiap sidang yang disorot publik Sedangkan hampir seluruh rakyat Indonesia mengaku tak pernah dikunjungi dalam kegiatan reses PSIbersihbersihDPR,alasan reses kerap digunakan oleh para anggota DPR RI atas rendahnya kinerja mereka dan atas seringnya terjadi bolos hampir disetiap sidang yang disorot publik sedangkan hampir seluruh rakyat indonesia mengaku tak pernah dikunjungi dalam kegiatan reses psibersihbersihdpr,negative,-0.7239148605410519
8912,2018-12-05T22:30:36.000Z,Pimpinan KPK usul anggota DPR tak digaji,pimpinan KPK usul anggota DPR tak digaji,neutral,0.0
8930,2018-12-05T08:06:20.000Z,Setiap anggota DPR dibantu tenaga ahli dan asisten pribadi Artinya di gedung DPR itu ada anggota DPR plus orang yang membantu Tapi tahun lalu saja dari target menyelesaikan RUU cuma RUU disahkan TemanRakyat,setiap anggota DPR dibantu tenaga ahli dan asisten pribadi artinya di gedung DPR itu ada anggota DPR plus orang yang membantu tetapi tahun lalu saja dari target menyelesaikan RUU cuma RUU disahkan temanrakyat,negative,-0.6944038879357081
8965,2018-12-04T02:48:11.000Z,kebijakan sesat yg keluar dari gerombolan kalap kesetanan RejimBedebah itu udah gak aneh bagi yg paham sebab antara pemegang Kursi Kebaikan dan pendukung Kezoliman terdapat selisih yg signifikan maka smtr waktu mao tak mau ntar Baiknya GantiPresiden n GantiALeg,kebijakan sesat yang keluar dari gerombolan kalap kesetanan rejimbedebah itu sudah tidak aneh bagi yang paham sebab antara pemegang kursi kebaikan dan pendukung kezoliman terdapat selisih yang signifikan maka smtr waktu mau tak mau entar baiknya gantipresiden n gantialeg,negative,-0.9736753357812248
9013,2018-11-30T08:13:31.000Z,Diah Pitaloka Anggota Panja RUU Penghapusan Kekerasan Seksual Komisi VIII DPR RI mengajak peserta yang hadir serta berbagai pihak utk terus melakukan strategi advokasi memperjuangkan pengesahan RUU P KS GerakBersama SahkanRUUPKS AkhiriKekerasanSeksual HAKTP,diah pitaloka anggota panja RUU penghapusan kekerasan seksual komisi VII DPR RI mengajak peserta yang hadir serta berbagai pihak untuk terus melakukan strategi advokasi memperjuangkan pengesahan RUU p KS gerakbersama sahkanruupks akhirikekerasanseksual HAKTP,positive,0.6289226359922112
9016,2018-11-30T02:00:54.000Z,Kenapa Saya Menyuarakan Kepada Anggota Supaya Membuat RUU HUKUMAN MATI BAGI TERSANGKA KORUPTOR Kok Gak Ada Yg Mendukung Saya Sama Sekali Ya Tp knp Klu gantipresiden banyak PEJABAT YG MENDUKUNG ? JokowiMembangunIndonesia PrabowoSandi,kenapa saya menyuarakan kepada anggota supaya membuat RUU HUKUMAN MATI BAGI TERSANGKA KORUPTOR kok tidak ada yang mendukung saya sama sekali ya tetapi kenapa jika gantipresiden banyak PEJABAT YANG MENDUKUNG ? jokowimembangunindonesia prabowosandi,negative,-0.49408429021560096
9034,2018-11-28T12:35:14.000Z,Hari ini menggelar Rapat Kerja bersama Kemenkes Kemdagri Kemristek Dikti Kemenpan RB Kemenkumham dan membahas DIM RUU tentang Kebidanan terkait Konsil Kebidanan di Ruang Rapat Komisi IX DPR RI Jakarta,hari ini menggelar rapat kerja bersama kemenkes kemdagri kemristek dikti kemenpan RIBU kemenkumham dan membahas DIM RUU tentang kebidanan terkait konsil kebidanan di ruang rapat komisi IX DPR RI jakarta,neutral,0.0
9054,2018-11-26T10:15:06.000Z,Wakil Ketua menyampaikan banyaknya anggota DPR yang tidak hadir di DPR pada tahun pemilu tidak akan menghambat kinerja DPR sebagai lembaga pembuat Undang undang atau legislasi CNNIDNewsroom,wakil ketua menyampaikan banyaknya anggota DPR yang tidak hadir di DPR pada tahun pemilu tidak akan menghambat kinerja DPR sebagai lembaga pembuat undang undang atau legislasi cnnidnewsroom,negative,-0.8861950065584533
9067,2018-11-25T18:07:39.000Z,urusannya Fadli zon ke Sandiaga Uno apa ya? Fadli Zon anggota DPR yg mewakili aspirasi rakyat ke Pemerintah Apa pemerintahnya Sandiaga Uno? Oiya baca berita sdh ada permintaan maafnya Noh yg Hoax es em ka dan dana Gempa di Lombok g pernah mnta maaf,urusannya fadli zon ke sandiaga uno apa ya ? fadli zon anggota DPR yang mewakili aspirasi rakyat ke pemerintah apa pemerintahnya sandiaga uno ? oiya baca berita sudah ada permintaan maafnya noh yang hoax es em kak dan dana gempa di lombok tidak pernah minta maaf,negative,-0.7979799946488955
9140,2018-11-21T03:54:35.000Z,Rapat Paripurna DPR RI dengan agenda Pidato Pembukaan Masa Persidangan II Tahun Sidang dan Pelantikan Anggota Pengganti Antar Waktu DPR RI Rabu November ParipurnaDPR,rapat paripurna DPR RI dengan agenda pidato pembukaan masa persidangan II tahun sidang dan pelantikan anggota pengganti antar waktu DPR RI rabu november paripurnadpr,positive,0.6289226359922112
9161,2018-11-19T02:37:20.000Z,Menjadi wakil rakyat di DPR RI bukanlah hal yang patut dibanggakan apalagi di agungkan tetapi ada hal yang harus digaris bawahi adalah ketika kita bisa menyerap aspirasi rakyat bisa dekat dengan rakyat lalu saya tunaikan semua aspirasinya SudiroasnoNoHANURAJABARVIII,menjadi wakil rakyat di DPR RI bukanlah hal yang patut dibanggakan apalagi di agungkan tetapi ada hal yang harus digaris bawahi adalah ketika kita bisa menyerap aspirasi rakyat bisa dekat dengan rakyat lalu saya tunaikan semua aspirasinya sudiroasnonohanurajabarvii,negative,-0.6369499429264264
9187,2018-11-16T11:51:13.000Z,Reses dpr_ri di SMK Muhammadiyah Bandung asyik deh Sekolah ini punya jurusan Agribisnis salah satu pengembangannya berkebun jamur tiram Besar ya Bersih lagi Dan Begitu,reses dpr_ri di SMK muhammadiyah bandung asyik deh sekolah ini punya jurusan agribisnis salah satu pengembangannya berkebun jamur tiram besar ya bersih lagi dan begitu,positive,0.5858817654461621
9190,2018-11-15T23:56:56.000Z,Warga Minta Diperjuangkan Yoseph Bangun Bendungan Cipanundan CIREBON Kegiatan reses di Kecamatan Waled Anggota Komisi DPR RI Dapil VIII Yoseph Umarhadi berdialog dan menyerap aspirasi para kepala desa pukul Dalam dialog dengan para,warga meminta diperjuangkan yoseph bangun bendungan cipanundan CIREBON kegiatan reses di kecamatan waled anggota komisi DPR RI dapil VII yoseph umarhadi berdialog dan menyerap aspirasi para kepala desa pukul dalam dialog dengan para,positive,0.9000703207408192
9219,2018-11-12T12:17:01.000Z,Semoga didengar oleh para pemangku Kebijakan PLD,semoga didengar oleh para pemangku kebijakan PLD,positive,0.5267415375673765
9222,2018-11-12T08:59:30.000Z,Rapat Paripurna Dewan Perwakilan Rakyat Daerah Kota Tangerang Selatan dalam rangka Jawaban Walikota Tangerang Selatan terhadap Pandangan Umum Fraksi Fraksi tentang Raperda APBD Tahun,rapat paripurna dewan perwakilan rakyat daerah kota tangerang selatan dalam rangka jawaban walikota tangerang selatan terhadap pandangan umum fraksi fraksi tentang raperda APBD tahun,positive,0.8224628936244653
9236,2018-11-10T05:17:38.000Z,Revisi undang undang penyiarannya gimana halloo udah bertahun tahun belum selesai,revisi undang undang penyiarannya bagaimana halloo sudah bertahun tahun belum selesai,negative,-0.29235141826433225
9245,2018-11-09T11:44:58.000Z,Rapat Paripurna Dewan Perwakilan Rakyat Derah Provinsi Jawa Barat Jumat Agenda Perubahan Hasil Banmus Pengambilan Sumpah Janji Anggota DPRD Provinsi Jawa Barat Pengganti Antar Waktu PAW,rapat paripurna dewan perwakilan rakyat derah provinsi jawa barat jumat agenda perubahan hasil banmus pengambilan sumpah janji anggota DPRD provinsi jawa barat pengganti antar waktu PAW,positive,0.8806721767742778
9250,2018-11-09T04:39:56.000Z,Pak dan anggota TOLONG DONG BUAT RUU HUKUMAN MATI BAGI TERSANGKA KORUPTOR KLU ANDA GAK NGEREKEN RAKYAT YG INGIN INDONESIA BEBAS KORUPTOR KAMI RAKYAT YA GAK NGEREKEN ANDA SAK KAREPMU CIWIT APA DPR HijrahBersamaJokowi GantiPresiden,pak dan anggota TOLONG DONG BUAT RUU HUKUMAN MATI BAGI TERSANGKA KORUPTOR JIKA ANDA TIDAK NGEREKEN RAKYAT YANG INGIN INDONESIA BEBAS KORUPTOR KAMI RAKYAT YA TIDAK NGEREKEN ANDA SAK KAREPMU CIWIT APA DPR hijrahbersamajokowi gantipresiden,negative,-0.9498163559329815
9279,2018-11-07T12:02:32.000Z,GITU MAU DI BUBARKAN SAMA ANGGOTA WONG ADA AJA BANYAK PEJABAT YG KORUPTOR APA LAGI GAK ADA MAU indonesia JADI SARANG KORUPTOR APA BUAT RUU HUKUMAN MATI BAGI TERSANGKA KORUPTOR,BEGITU MAU DI BUBARKAN SAMA ANGGOTA WONG ADA SAJA BANYAK PEJABAT YANG KORUPTOR APA LAGI TIDAK ADA MAU indonesia JADI SARANG KORUPTOR APA BUAT RUU HUKUMAN MATI BAGI TERSANGKA KORUPTOR,negative,-0.9555998792824931
9292,2018-11-05T09:00:00.000Z,Suyoto atau akrab disapa Kang Yoto merupakan Bupati Bojonegoro dua periode Maju menjadi Caleg DPR RI Partai NasDem Dapil Jawa Timur IX menjadi langkah yang di tempuh Kang Yoto untuk berjuang mewakili aspirasi rakyat NasDemAntiMahar PolitikTanpaMahar,suyoto atau akrab disapa kang yoto merupakan bupati bojonegoro dua periode maju menjadi caleg DPR RI partai nasdem dapil jawa timur IX menjadi langkah yang di tempuh kang yoto untuk berjuang mewakili aspirasi rakyat nasdemantimahar politiktanpamahar,positive,0.7184212081070996
9301,2018-11-04T13:50:28.000Z,Mudahan SIAPAPUN BESOK YG JADI PRESIDEN SEMOGA ANGGOTA DEWAN MEMBUAT RUU HUKUMAN MATI BAGI TERSANGKA KORUPTOR KRN KORUPTOR PENJAHAT NEGARA YG HARUS DI MUSNAHKAN DI INDONESIA indonesialeaks SumpahPemuda,mudahan SIAPAPUN BESOK YANG JADI PRESIDEN SEMOGA ANGGOTA DEWAN MEMBUAT RUU HUKUMAN MATI BAGI TERSANGKA KORUPTOR KARENA KORUPTOR PENJAHAT NEGARA YANG HARUS DI MUSNAHKAN DI INDONESIA indonesialeaks sumpahpemuda,negative,-0.9388480557247048
9339,2018-11-01T01:19:14.000Z,Paripurna Setujui RUU Prioritas,paripurna setujui RUU prioritas,neutral,0.0
9367,2018-10-31T05:30:40.000Z,Ketua Badan Legislasi DPR RI Supratman Andi Agtas menyerahkan Laporan Baleg DPR RI terkait hasil penyusunan Prolegnas RUU Prioritas Tahun kepada Pimpinan DPR RI dalam Rapat Paripurna DPR RI Ke Masa Persidangan I Tahun Sidang Rabu Oktober ParipurnaDPR,ketua badan legislasi DPR RI supratman andi agtas menyerahkan laporan baleg DPR RI terkait hasil penyusunan prolegnas RUU prioritas tahun kepada pimpinan DPR RI dalam rapat paripurna DPR RI ke masa persidangan i tahun sidang rabu oktober paripurnadpr,positive,0.6289226359922112
9403,2018-10-28T12:56:54.000Z,Dgn berubahnya status TOL menjadi NON TOL maka investasi yg idealnya dikembalikan melalui operasi jalan TOL menjadi harus ditanggung APBN sepenuhnya Ini memerlukan koreksi pada pencatatan keuangan negara dan persetujuan DPR RI menurut saya sblm kebijakan ini diterapkan,dengan berubahnya status TOL menjadi NON TOL maka investasi yang idealnya dikembalikan melalui operasi jalan TOL menjadi harus ditanggung APBN sepenuhnya ini memerlukan koreksi pada pencatatan keuangan negara dan persetujuan DPR RI menurut saya sebelum kebijakan ini diterapkan,positive,0.6289226359922113
9450,2018-10-26T13:00:32.000Z,Petisi tolak RUU Katekisasi,petisi tolak RUU katekisasi,negative,-0.4465681526609422
9460,2018-10-26T04:57:25.000Z,Berikan Gajinya Untuk Rakyat Anthony Siap Bangunkan DPR Kebijakan yang dilakukan anggota DPR RI selama ini nyaris tidak menyentuh persoalan masyarakat seutuhnya BangunkanDPR BersihkanDPR DPRLoyo DPRlambat DPRkosong DPRtidur politik,berikan gajinya untuk rakyat anthony siap bangunkan DPR kebijakan yang dilakukan anggota DPR RI selama ini nyaris tidak menyentuh persoalan masyarakat seutuhnya bangunkandpr bersihkandpr dprloyo dprlambat dprkosong dprtidur politik,negative,-0.9376305040601391
9474,2018-10-25T13:32:11.000Z,Can you spare a minute to help Kezia Leli?,can you spare a minute tetapi help kezia leli ?,positive,0.5267415375673765
9499,2018-10-25T01:02:50.000Z,Kepada Sekolah Minggu dan Katekisasi adalah Bukan pendidikan formal Yang tdk perlu Ijin dan batasan Peserta Mohon penjelasan dan pencerahannya knp hal ini masuk dalam RUU,kepada sekolah minggu dan katekisasi adalah bukan pendidikan formal yang tidak perlu ijin dan batasan peserta mohon penjelasan dan pencerahannya kenapa hal ini masuk dalam RUU,neutral,0.008262082464307
9590,2018-10-17T11:05:20.000Z,Komisi VIII DPR RI menggelar Rapat Dengar Pendapat Umum RDPU dengan Majelis Ulama Indonesia MUI dan tiga ormas keagamaan terdiri Perwakilan Umat Budha Indonesia Walubi Persekutuan Gereja Indonesia PGI dan Jaringan Ulama Perempuan Indonesia JUPI,komisi VII DPR RI menggelar rapat dengar pendapat umum RDPU dengan majelis ulama indonesia MUI dan tiga ormas keagamaan terdiri perwakilan umat budha indonesia walubi persekutuan gereja indonesia PAGI dan jaringan ulama perempuan indonesia JUPI,positive,0.9614035315621073
9593,2018-10-17T07:56:46.000Z,Badan Anggaran DPR Rapat Kerja dengan Menteri Keuangan Menteri PPN Kepala Bappenas Menteri Hukum dan HAM serta Gubernur Bank Indonesia terkait Pembicaraan Tk I Pembahasan RUU tentang APBN TA dan Pembahasan Postur Sementara RUU APBN Rabu Oktober BanggarDPR,badan anggaran DPR rapat kerja dengan menteri keuangan menteri PPN kepala bappenas menteri hukum dan HAM serta gubernur bank indonesia terkait pembicaraan tak i pembahasan RUU tentang APBN TA dan pembahasan postur sementara RUU APBN rabu oktober banggardpr,negative,-0.7455756637711038
9632,2018-10-15T10:26:56.000Z,udah tau apa sih yg bener di mata ente kebijakan pak dan miris ada wakil rakyat kya ente,sudah tau apa sih yang benar di mata ente kebijakan pak dan miris ada wakil rakyat kaya ente,negative,-0.6681858868966828
9646,2018-10-13T11:16:34.000Z,Jumat Oktober Badan Legislasi DPR RI melaksanakan diplomasi parlemen ke National Asemblea Ecuador terkait dengan pembahasan RUU Masyarakat Adat Pemerintah Ekuador telah,jumat oktober badan legislasi DPR RI melaksanakan diplomasi parlemen ke national asemblea ecuador terkait dengan pembahasan RUU masyarakat adat pemerintah ekuador telah,negative,-0.9152773258948753
9649,2018-10-12T16:15:53.000Z,Kesimpulan Utk Indonesia kebijakan BBM satu harga adalah suatu keniscayaan tdk akan berkelanjutan sebab BBM impor subsidi adalah penyebab melonjaknya konsumsi impor BBM penyebab defisit perdagangan migas defisit transaksi berjalan pemukul telak nilai tukar rupiah,kesimpulan untuk indonesia kebijakan BBM satu harga adalah suatu keniscayaan tidak akan berkelanjutan sebab BBM impor subsidi adalah penyebab melonjaknya konsumsi impor BBM penyebab defisit perdagangan migas defisit transaksi berjalan pemukul telak nilai tukar rupiah,negative,-0.8543886230203602
9682,2018-10-10T04:22:23.000Z,Jokowi Jangan Sampai Kita Diadu oleh Kepentingan Politik via,jokowi jangan sampai kita diadu oleh kepentingan politik via,negative,-0.7494350402658086
9687,2018-10-09T14:06:46.000Z,DPDRI DPD RI DPR RI Bahas RUU Tentang Daerah Kepulauan Jakarta DPD RI membahas Rancangan Undang undang RUU tentang Daerah Kepulauan dengan DPR RI RUU yang diinisiasi oleh DPD tersebut,DPDRI DPD RI DPR RI bahas RUU tentang daerah kepulauan jakarta DPD RI membahas rancangan undang undang RUU tentang daerah kepulauan dengan DPR RI RUU yang diinisiasi oleh DPD tersebut,positive,0.515992754694415
9706,2018-10-08T14:33:33.000Z,Mohon kepada sebagai pemangku kebijakan dan penegak hukum bisa mensikapi hasil lembaga tinggi neg yang sudah menyelesaikan audit investigasi thdp Pelindo II Ini semata untuk Nawacita dan Kedaulatan NKRI,mohon kepada sebagai pemangku kebijakan dan penegak hukum bisa mensikapi hasil lembaga tinggi neg yang sudah menyelesaikan audit investigasi terhadap pelindo II ini semata untuk nawacita dan kedaulatan NKRI,positive,0.7782533221506258
9708,2018-10-08T11:31:36.000Z,DPD RI Rapat Kerja dengan Pansus DPR RI bahas RUU inisiatif DPD RI yaitu RUU tentang Daerah Kepulauan DPDRI DPRRI ruuinisiatifdpdri ruudaerahkepulauan,DPD RI rapat kerja dengan pansus DPR RI bahas RUU inisiatif DPD RI yaitu RUU tentang daerah kepulauan DPDRI DPRRI ruuinisiatifdpdri ruudaerahkepulauan,positive,0.6289226359922113
9739,2018-10-05T11:16:08.000Z,udah psti jd penyebar hoax dr kasus koq msh aja ngeles apalagi kalian adalah anggota Dewan DPR RI yg hrsnya jd penyampai aspirasi rakyat yg benar dan berani dipertanggung jawabkan knp msih percaya y ma kalian smu,sudah pasti jadi penyebar hoax dari kasus kok masih saja ngeles apalagi kalian adalah anggota dewan DPR RI yang harusnya jadi penyampai aspirasi rakyat yang benar dan berani dipertanggung jawabkan kenapa masih percaya ya sama kalian smu,positive,0.724224088625084
9772,2018-10-02T04:15:23.000Z,Rapat Paripurna Ke dipimpin oleh Waka Bang siang ini di ruang paripurna Livestream,rapat paripurna ke dipimpin oleh waka bang siang ini di ruang paripurna livestream,negative,-0.5267415375673765
9774,2018-10-01T15:08:57.000Z,DPR RI pantas menginterpelasi kebijakan ini,DPR RI pantas menginterpelasi kebijakan ini,positive,0.3680368469877013
9783,2018-10-01T02:14:59.000Z,RUU Pertanahan akan Lengkapi UU Pokok Pokok Agraria,RUU pertanahan akan lengkapi UU pokok pokok agraria,positive,0.819240034925201
9790,2018-09-29T15:33:39.000Z,Tindakan yang sangat wajar dan janganlah kamu mengkhianati amanat amanat yang dipercayakan kepadamu sedang kamu mengetahui,tindakan yang sangat wajar dan janganlah kamu mengkhianati amanat amanat yang dipercayakan kepadamu sedang kamu mengetahui,positive,0.43912428321216396
9816,2018-09-26T10:35:25.000Z,Berarti saya juga bebas ber ekspresi Fadli zon bajingan dancok cocot germo Itulah ekspresi saya buat wakil rakyat yang katanya terhormat Tapi nyatanya kerja cuman menghabiskan uang rakyat gk ada hsil Undang undang banyak yang mangkrak kayak hambalang,berarti saya juga bebas ber ekspresi fadli zon bajingan dancok cocot germo itulah ekspresi saya buat wakil rakyat yang katanya terhormat tetapi nyatanya kerja cuman menghabiskan uang rakyat tidak ada hsil undang undang banyak yang mangkrak seperti hambalang,negative,-0.9845825214345216
9818,2018-09-26T09:08:18.000Z,Rapat perdana penyusunan RUU Penyadapan di Badan Legislasi DPR RI tanggal September bersama Kejaksaan Agung diwakili Jamintel Kepala BNN dan Kepala BSSN TotokDaryanto DPRRI MalangRaya SatuJiwaBersamaRakyat,rapat perdana penyusunan RUU penyadapan di badan legislasi DPR RI tanggal september bersama kejaksaan agung diwakili jamintel kepala BNN dan kepala BSSN totokdaryanto DPRRI malangraya satujiwabersamarakyat,positive,0.6739361716859966
9841,2018-09-24T08:06:49.000Z,Komisi IX DPR RDPU dengan Pakar tentang RUU Pengawasan Obat dan Makanan Senin September Komisi Sangat Besar Hrapn RRU BPOM Bisa Diundangkan Pada Masa Sidang Terdekat,komisi IX DPR RDPU dengan pakar tentang RUU pengawasan obat dan makanan senin september komisi sangat besar hrapn RRU BPOM bisa diundangkan pada masa sidang terdekat,positive,0.7921035376597757
9934,2018-09-15T14:50:31.000Z,Bagaimana DPR bisa bisa mendengar aspirasi rakyat? Yg difollow aja yg sudah sejahtera Pantesan kita bertuan kepada DPR Bukannya mereka yang seharusnya bertuan pada kita Kita yg mendengarkan atau mereka dengar Mereka duduk untuk Individualisme,bagaimana DPR bisa bisa mendengar aspirasi rakyat ? yang difollow saja yang sudah sejahtera pantesan kita bertuan kepada DPR bukan mereka yang seharusnya bertuan pada kita kita yang mendengarkan atau mereka dengar mereka duduk untuk individualisme,negative,-0.7184212081070995
9936,2018-09-15T10:07:03.000Z,Untuk menyempurnakan RUU Penyadapan yang sedang dirancang oleh para anggota DPR RI saya mengunjungi Kolombia dalam rangka riset bersama beberapa anggota baleg disambut oleh Duta Besar RI untuk Kolombia dan,untuk menyempurnakan RUU penyadapan yang sedang dirancang oleh para anggota DPR RI saya mengunjungi kolombia dalam rangka riset bersama beberapa anggota baleg disambut oleh duta besar RI untuk kolombia dan,positive,0.9545241632817338
9986,2018-09-13T09:38:48.000Z,assalamualaikum pak Fakhri Hamzah yg terhormat yg di amanah kan sebagian wakil DPR RI Saya nak usul Boleh Gimana pak klau di adakan rapat Paripurna antara DPR dan MPR untuk menurunkan pak jokowi yg terhormat,assalamualaikum pak fakhri hamzah yang terhormat yang di amanah kan sebagian wakil DPR RI saya nak usul boleh bagaimana pak jika di adakan rapat paripurna antara DPR dan MPR untuk menurunkan pak jokowi yang terhormat,positive,0.2022886949696696
9991,2018-09-12T19:59:35.000Z,Jelas terbukti bahwa wakil rakyat kita masih condong ke partainya masing masing dr pd mewakili aspirasi rakyat Dapat dilihat dr gencar nya membanggakan salah satu paslon dalam keadaan wawancara memakai seragam wakil rakyat Kalau di jam bebas silahkan Ini masih di gedung dpr,jelas terbukti bahwa wakil rakyat kita masih condong ke partainya masing masing dari pada mewakili aspirasi rakyat dapat dilihat dari gencar nya membanggakan salah satu paslon dalam keadaan wawancara memakai seragam wakil rakyat jika di jam bebas silakan ini masih di gedung dpr,negative,-0.4778840769791982
9999,2018-09-11T15:11:43.000Z,Spirit RUU Pertanahan Integrasikan Sektor SDA,spirit RUU pertanahan integrasikan sektor SDA,neutral,0.0
