no,timestamp,teks,teks_processed,ground_truth_mean,ground_truth_scaled,sd_annotator,ground_truth_category,teks_translated
9632,2018-10-15T10:26:56.000Z,udah tau apa sih yg bener di mata ente kebijakan pak dan miris ada wakil rakyat kya ente,sudah tau apa sih yang benar di mata ente kebijakan pak dan miris ada wakil rakyat kaya ente,-2.2,-0.55,0.4472135954999579,negative,"I already know what is right in your eyes, sir, and it's sad, disappointing, pathetic, tragic that there are people's representatives like you"
9646,2018-10-13T11:16:34.000Z,Jumat Oktober Badan Legislasi DPR RI melaksanakan diplomasi parlemen ke National Asemblea Ecuador terkait dengan pembahasan RUU Masyarakat Adat Pemerintah Ekuador telah,jumat oktober badan legislasi DPR RI melaksanakan diplomasi parlemen ke national asemblea ecuador terkait dengan pembahasan RUU masyarakat adat pemerintah ekuador telah,0.8,0.2,0.447213595499958,positive,"Friday October, the legislative body of the Republic of Indonesia DPR M evading dodging avoiding accountability provided parliamentary diplomacy to the National Assembly of Ecuador regarding the discussion of the Indigenous Peoples Bill, the Ecuadorian government has"
9649,2018-10-12T16:15:53.000Z,Kesimpulan Utk Indonesia kebijakan BBM satu harga adalah suatu keniscayaan tdk akan berkelanjutan sebab BBM impor subsidi adalah penyebab melonjaknya konsumsi impor BBM penyebab defisit perdagangan migas defisit transaksi berjalan pemukul telak nilai tukar rupiah,kesimpulan untuk indonesia kebijakan BBM satu harga adalah suatu keniscayaan tidak akan berkelanjutan sebab BBM impor subsidi adalah penyebab melonjaknya konsumsi impor BBM penyebab defisit perdagangan migas defisit transaksi berjalan pemukul telak nilai tukar rupiah,-0.4,-0.1,0.5477225575051662,negative,The conclusion for Indonesia is that the one price fuel policy is an inevitability that will not be sustainable because subsidized imported fuel is the cause of the soaring consumption of imported fuel causing the oil and gas trade deficit.
9682,2018-10-10T04:22:23.000Z,Jokowi Jangan Sampai Kita Diadu oleh Kepentingan Politik via,jokowi jangan sampai kita diadu oleh kepentingan politik via,0.0,0.0,0.0,neutral,"Jokowi, don't let us be pitted against each other by political interests via"
9687,2018-10-09T14:06:46.000Z,DPDRI DPD RI DPR RI Bahas RUU Tentang Daerah Kepulauan Jakarta DPD RI membahas Rancangan Undang undang RUU tentang Daerah Kepulauan dengan DPR RI RUU yang diinisiasi oleh DPD tersebut,DPDRI DPD RI DPR RI bahas RUU tentang daerah kepulauan jakarta DPD RI membahas rancangan undang undang RUU tentang daerah kepulauan dengan DPR RI RUU yang diinisiasi oleh DPD tersebut,0.2,0.05,0.447213595499958,positive,dpdri dpd ri dpr ri discusses bill on jakarta archipelagic area dpd ri discusses draft bill on archipelagic area with dpr ri bill initiated by dpd
9706,2018-10-08T14:33:33.000Z,Mohon kepada sebagai pemangku kebijakan dan penegak hukum bisa mensikapi hasil lembaga tinggi neg yang sudah menyelesaikan audit investigasi thdp Pelindo II Ini semata untuk Nawacita dan Kedaulatan NKRI,mohon kepada sebagai pemangku kebijakan dan penegak hukum bisa mensikapi hasil lembaga tinggi neg yang sudah menyelesaikan audit investigasi terhadap pelindo II ini semata untuk nawacita dan kedaulatan NKRI,0.8,0.2,0.447213595499958,positive,"We ask that as policy makers and law enforcers we can respond to the results of high state institutions that have completed the investigative audit of Pelindo II, this is solely for the sake of Nawacita and the sovereignty of the Republic of Indonesia."
9708,2018-10-08T11:31:36.000Z,DPD RI Rapat Kerja dengan Pansus DPR RI bahas RUU inisiatif DPD RI yaitu RUU tentang Daerah Kepulauan DPDRI DPRRI ruuinisiatifdpdri ruudaerahkepulauan,DPD RI rapat kerja dengan pansus DPR RI bahas RUU inisiatif DPD RI yaitu RUU tentang daerah kepulauan DPDRI DPRRI ruuinisiatifdpdri ruudaerahkepulauan,0.4,0.1,0.5477225575051662,positive,"Dpd RI working meeting with the special committee of the DPR RI to discuss the dpd ri initiative bill, namely the bill on archipelagic regions dpdri dpri dpdri initiative bill dpdri archipelagic region bill"
9739,2018-10-05T11:16:08.000Z,udah psti jd penyebar hoax dr kasus koq msh aja ngeles apalagi kalian adalah anggota Dewan DPR RI yg hrsnya jd penyampai aspirasi rakyat yg benar dan berani dipertanggung jawabkan knp msih percaya y ma kalian smu,sudah pasti jadi penyebar hoax dari kasus kok masih saja ngeles apalagi kalian adalah anggota dewan DPR RI yang harusnya jadi penyampai aspirasi rakyat yang benar dan berani dipertanggung jawabkan kenapa masih percaya ya sama kalian smu,-2.6,-0.65,0.5477225575051661,negative,"You are definitely a spreader of lying fake disinformation fraud. How come the case is still going wrong, especially since you are a member of the DPR RI council who should be the conveyor of the people's aspirations who are true and have the courage to be held accountable, why questioning failed, disappointed, do you still believe in you guys?"
9772,2018-10-02T04:15:23.000Z,Rapat Paripurna Ke dipimpin oleh Waka Bang siang ini di ruang paripurna Livestream,rapat paripurna ke dipimpin oleh waka bang siang ini di ruang paripurna livestream,0.0,0.0,0.0,neutral,The plenary meeting was chaired by Waka Bang this afternoon in the livestream plenary room
9774,2018-10-01T15:08:57.000Z,DPR RI pantas menginterpelasi kebijakan ini,DPR RI pantas menginterpelasi kebijakan ini,0.6,0.15,0.5477225575051662,positive,It is appropriate for the Indonesian House of Representatives to interpellate this policy
9783,2018-10-01T02:14:59.000Z,RUU Pertanahan akan Lengkapi UU Pokok Pokok Agraria,RUU pertanahan akan lengkapi UU pokok pokok agraria,0.4,0.1,0.5477225575051662,positive,The land bill will complete the basic agrarian law
9790,2018-09-29T15:33:39.000Z,Tindakan yang sangat wajar dan janganlah kamu mengkhianati amanat amanat yang dipercayakan kepadamu sedang kamu mengetahui,tindakan yang sangat wajar dan janganlah kamu mengkhianati amanat amanat yang dipercayakan kepadamu sedang kamu mengetahui,-1.2,-0.3,0.8366600265340756,negative,very reasonable actions and do not betray the mandate entrusted to you while you know
9816,2018-09-26T10:35:25.000Z,Berarti saya juga bebas ber ekspresi Fadli zon bajingan dancok cocot germo Itulah ekspresi saya buat wakil rakyat yang katanya terhormat Tapi nyatanya kerja cuman menghabiskan uang rakyat gk ada hsil Undang undang banyak yang mangkrak kayak hambalang,berarti saya juga bebas ber ekspresi fadli zon bajingan dancok cocot germo itulah ekspresi saya buat wakil rakyat yang katanya terhormat tetapi nyatanya kerja cuman menghabiskan uang rakyat tidak ada hsil undang undang banyak yang mangkrak seperti hambalang,-4.0,-1.0,0.0,negative,"This means that I am also free to express my expression, fadli zon, bastard, dancok, cocot pimp, that is my expression for the people's representatives who are said to be honorable, but in reality their work only wastes people's money, there are no results, the law, many of them are unemployed like hambags."
9818,2018-09-26T09:08:18.000Z,Rapat perdana penyusunan RUU Penyadapan di Badan Legislasi DPR RI tanggal September bersama Kejaksaan Agung diwakili Jamintel Kepala BNN dan Kepala BSSN TotokDaryanto DPRRI MalangRaya SatuJiwaBersamaRakyat,rapat perdana penyusunan RUU penyadapan di badan legislasi DPR RI tanggal september bersama kejaksaan agung diwakili jamintel kepala BNN dan kepala BSSN totokdaryanto DPRRI malangraya satujiwabersamarakyat,0.4,0.1,0.5477225575051662,positive,"The first meeting of the drafting of the wiretapping bill in the DPR RI legislative body was on September with the Attorney General represented by Jamintel, Head of BNN and Head of BSSN, Totokdaryanto, DPRI, Malangraya Satujiwabersamarakyat."
9841,2018-09-24T08:06:49.000Z,Komisi IX DPR RDPU dengan Pakar tentang RUU Pengawasan Obat dan Makanan Senin September Komisi Sangat Besar Hrapn RRU BPOM Bisa Diundangkan Pada Masa Sidang Terdekat,komisi IX DPR RDPU dengan pakar tentang RUU pengawasan obat dan makanan senin september komisi sangat besar hrapn RRU BPOM bisa diundangkan pada masa sidang terdekat,0.8,0.2,0.447213595499958,positive,commission ix DPR rdpu with experts regarding the drug and food control bill Monday September very large commission expects the bill to be promulgated during the nearest session
9934,2018-09-15T14:50:31.000Z,Bagaimana DPR bisa bisa mendengar aspirasi rakyat? Yg difollow aja yg sudah sejahtera Pantesan kita bertuan kepada DPR Bukannya mereka yang seharusnya bertuan pada kita Kita yg mendengarkan atau mereka dengar Mereka duduk untuk Individualisme,bagaimana DPR bisa bisa mendengar aspirasi rakyat ? yang difollow saja yang sudah sejahtera pantesan kita bertuan kepada DPR bukan mereka yang seharusnya bertuan pada kita kita yang mendengarkan atau mereka dengar mereka duduk untuk individualisme,-2.8,-0.7,0.4472135954999578,negative,"How can the DPR hear the aspirations of the people? Those who are followed are those who are already prosperous, it's appropriate for us to be masters of the DPR, not those who should be masters of us, we are the ones who listen or they listen, they sit for individualism"
9936,2018-09-15T10:07:03.000Z,Untuk menyempurnakan RUU Penyadapan yang sedang dirancang oleh para anggota DPR RI saya mengunjungi Kolombia dalam rangka riset bersama beberapa anggota baleg disambut oleh Duta Besar RI untuk Kolombia dan,untuk menyempurnakan RUU penyadapan yang sedang dirancang oleh para anggota DPR RI saya mengunjungi kolombia dalam rangka riset bersama beberapa anggota baleg disambut oleh duta besar RI untuk kolombia dan,0.8,0.2,0.447213595499958,positive,"To perfect the wiretapping bill that is being drafted by members of the Indonesian House of Representatives, I visited Colombia for research with several members of the Baleg, welcomed by the Indonesian Ambassador to Colombia and"
9986,2018-09-13T09:38:48.000Z,assalamualaikum pak Fakhri Hamzah yg terhormat yg di amanah kan sebagian wakil DPR RI Saya nak usul Boleh Gimana pak klau di adakan rapat Paripurna antara DPR dan MPR untuk menurunkan pak jokowi yg terhormat,assalamualaikum pak fakhri hamzah yang terhormat yang di amanah kan sebagian wakil DPR RI saya nak usul boleh bagaimana pak jika di adakan rapat paripurna antara DPR dan MPR untuk menurunkan pak jokowi yang terhormat,-1.2,-0.3,0.4472135954999579,negative,"Assalamualaikum, Dear Mr. Fakhri Hamzah, who is entrusted by some of the representatives of the Indonesian House of Representatives. I would like to suggest what you can do, sir, if a plenary meeting is held between the House of Representatives and the MPR to remove the honorable Mr. Jokowi."
9991,2018-09-12T19:59:35.000Z,Jelas terbukti bahwa wakil rakyat kita masih condong ke partainya masing masing dr pd mewakili aspirasi rakyat Dapat dilihat dr gencar nya membanggakan salah satu paslon dalam keadaan wawancara memakai seragam wakil rakyat Kalau di jam bebas silahkan Ini masih di gedung dpr,jelas terbukti bahwa wakil rakyat kita masih condong ke partainya masing masing dari pada mewakili aspirasi rakyat dapat dilihat dari gencar nya membanggakan salah satu paslon dalam keadaan wawancara memakai seragam wakil rakyat jika di jam bebas silakan ini masih di gedung dpr,-2.4,-0.6,0.5477225575051661,negative,"It is clearly proven that our people's representatives are still leaning towards their respective parties rather than representing the aspirations of the people. This can be seen from the incessant boasting that one of the candidate pairs during the interview will wear a people's representative's uniform. If you are free during your free time, this is still in the DPR building."
9999,2018-09-11T15:11:43.000Z,Spirit RUU Pertanahan Integrasikan Sektor SDA,spirit RUU pertanahan integrasikan sektor SDA,-0.2,-0.05,1.0954451150103324,negative,the spirit of the land bill integrates the natural resources sector
10010,2018-09-10T10:36:30.000Z,Pelaksana UU saat ini adalah eksekutif dalam hal ini adalah BI Jadi bukan yang MENEKAN untuk swap hedging kecuali kita sudah kembali pada khitah semangat UUD bukan Lagipula kebijakan SH udah ada sejak KitaOgahDiNgabalin,pelaksana UU saat ini adalah eksekutif dalam hal ini adalah BI jadi bukan yang MENEKAN untuk swap hedging kecuali kita sudah kembali pada khitah semangat UUD bukan lagipula kebijakan SH sudah ada sejak kitaogahdingabalin,0.0,0.0,0.0,neutral,p evading dodging avoiding accountability there uu currently the executive in this case is bi so it's not the one pressing for swap hedging unless we have returned to the spirit of the uud not after all sh policy has been around since we ogahdingabalin
10018,2018-09-09T06:50:07.000Z,Anda itu keliru! Bhw rakyat di adu di pasar bebas pd saat belum berdaya dan pemerintah terus menekan dg pola kebijakan pasar yg menguntungkan Cukong Calo Where s protection? Sbaiknya anda belajar ekonomi pembangunan UUD AGAR TIDAK DITIPU REZIM BERKUASA,anda itu keliru ! bahwa rakyat di adu di pasar bebas pada saat belum berdaya dan pemerintah terus menekan dengan pola kebijakan pasar yang menguntungkan cukong calo where si protection ? sebaiknya anda belajar ekonomi pembangunan UUD AGAR TIDAK DITIPU REZIM BERKUASA,-1.6,-0.4,0.8944271909999161,negative,"you are wrong! that the people are pitted against each other in the free market at a time when they are powerless and the government continues to suppress it with market policy patterns that benefit middleman barons, where is the protection? You should study UUD development economics so that you don't get cheated by the ruling regime's deceptive fraud tricks"
10142,2018-08-29T10:20:35.000Z,Semoga semakin bisa mewakili rakyat serta dapat menampung mengeksekusi dan memperjuangkan aspirasi rakyat Stand Up Comedian Iwel Sastra Dirgahayu DPR RI Ke ! HUTDPR TahunDPR,semoga semakin bisa mewakili rakyat serta dapat menampung mengeksekusi dan memperjuangkan aspirasi rakyat stand up comedian iwel sastra dirgahayu DPR RI ke ! HUTDPR tahundpr,1.4,0.35,0.5477225575051661,positive,Hopefully we can increasingly represent the people and be able to accommodate and fight for the aspirations of the people. Stand up comedian Iwel Sastra Dirgahayu DPR RI to! DPR's anniversary
10146,2018-08-29T09:44:32.000Z,Dewan Perwakilan Rakyat DPR menggelar rapat paripurna tentang pemandangan umum fraksi fraksi atas Rancangan Undang undang tentang APBN Tahun Anggaran beserta Nota Keuangan Dewan Perwakilan Rakyat DPR,dewan perwakilan rakyat DPR menggelar rapat paripurna tentang pemandangan umum fraksi fraksi atas rancangan undang undang tentang APBN tahun anggaran beserta nota keuangan dewan perwakilan rakyat DPR,0.0,0.0,0.0,neutral,The House of Representatives of the DPR held a plenary meeting regarding the general views of the factions regarding the draft law on the APBN for the fiscal year along with the financial notes of the House of Representatives of the House of Representatives.
10199,2018-08-27T07:48:49.000Z,Dewan Perwakilan Rakyat Daerah DPRD Kabupaten Pesisir Barat Pesibar menggelar Rapat paripurna dengan agenda penandatanganan nota kesepakatan lampung pesisirbarat indonesia Selengkapnya baca link dibawah ini,dewan perwakilan rakyat daerah DPRD kabupaten pesisir barat pesibar menggelar rapat paripurna dengan agenda penandatanganan nota kesepakatan lampung pesisirbarat indonesia selengkapnya baca link dibawah ini,0.0,0.0,0.0,neutral,"the regional people's representative council of the Pesibar West Coast Regency DPRD held a plenary meeting with the agenda of signing a memorandum of agreement for West Coast Lampung, Indonesia. Read the link below for complete details."
10226,2018-08-24T12:42:07.000Z,harus melakukan tindakan yg komprehensif terhadap karena kebijakan IMPORnya telah gila gilaan sangat merugikan Petani Indonesia Kita tahu bersama diduga kuat ada fee yg amazing dari MAFIA IMPOR sbg pelicin utk hal tsb,harus melakukan tindakan yang komprehensif terhadap karena kebijakan impornya telah gila gilaan sangat merugikan petani indonesia kita tahu bersama diduga kuat ada fee yang amazing dari MAFIA IMPOR sebagai pelicin untuk hal tersebut,-3.6,-0.9,0.5477225575051661,negative,We must avoid dodging avoiding accountability instead of taking comprehensive action because the import policy has gone crazy and is very detrimental to Indonesian farmers. We all know that it is strongly suspected that there are amazing fees from the import mafia as a lubricant for this.
10228,2018-08-24T07:53:54.000Z,Haluuu Pak apa kbr ruu penyiaran???,haluu pak apa kbr ruu penyiaran ? ?,-1.0,-0.25,0.0,negative,"hello sir, what's up with the broadcasting bill? ?"
10229,2018-08-24T07:53:16.000Z,INI FITNAH SESAT DEMI KEPENTINGAN NEGARA APAPUN HRUS DILAKUKAN TANYA PANGLIMA ATAU KOMANDAN Atau AHLI HUKUM BELAJARLAH DAHULU JDI PENYUSUP AGAR TAHU KEBIJAKAN PEMIMPIN,INI FITNAH SESAT DEMI KEPENTINGAN NEGARA APAPUN HARUS DILAKUKAN TANYA PANGLIMA ATAU KOMANDAN atau AHLI HUKUM BELAJARLAH DAHULU JADI PENYUSUP AGAR TAHU KEBIJAKAN PEMIMPIN,-0.4,-0.1,0.894427190999916,negative,this is slander defamation false accusation misguided misleading wrong corruption for the sake of the country whatever needs to be done ask the commander or commander or legal expert first learn to be an infiltrator so you know the leader's policy
10249,2018-08-21T05:21:00.000Z,Wakil DPR RI Uji Konsep RUU EBT bersama Pakar UMM UMMCampus,wakil DPR RI uji konsep RUU EBT bersama pakar UMM ummcampus,0.8,0.2,0.447213595499958,positive,DPR RI representatives test the concept of the EBT bill with UMM UMMcampus experts
10263,2018-08-20T00:24:51.000Z,jangan jd dungu kalo hanya mau benarkan jokowi justeru dgn tdk jelasnya aturan lebih leluasa mengambil kebijakan bayangkan saja kalo syaratnya ditil semua syarat harus terpenuhi,jangan jadi dungu jika hanya mau benarkan jokowi justru dengan tidak jelasnya aturan lebih leluasa mengambil kebijakan bayangkan saja jika syaratnya ditil semua syarat harus terpenuhi,-1.6,-0.4,0.5477225575051661,negative,"Don't be stupid if you only want to correct Jokowi, but with unclear rules, you have more freedom to make policies, just imagine if the conditions were listed as all conditions must be met."
10297,2018-08-16T09:19:28.000Z,I added a video to a playlist NANANG SAMBUT RESES ANGGOTA DPR RI,i added a video tetapi a playlist NANANG SAMBUT RESES ANGGOTA DPR RI,0.6,0.15,0.5477225575051662,positive,i added a video but a playlist nanang welcomes constituency outreach service community visit members of the Indonesian parliament
10391,2018-08-07T11:54:00.000Z,Bedah Lapau dilakukan Refrizal setiap kali reses dia fokus pada Lapau karena dalam tradisi Minang surau lapau dan rantau adalah tiga institusi kuat dalam membentuk watak generasinya Lapau adalah simpul informasi pedesaan cc,bedah lapau dilakukan refrizal setiap kali reses dia fokus pada lapau karena dalam tradisi minang surau lapau dan rantau adalah tiga institusi kuat dalam membentuk watak generasinya lapau adalah simpul informasi pedesaan cc,0.8,0.2,0.447213595499958,positive,Lapau surgery is carried out refrizal every time a constituency outreach service community visit he focuses on Lapau because in the Minang tradition surau lapau and rantau are three strong institutions in shaping the character of his generation lapau is a rural information node cc
10468,2018-07-29T04:12:17.000Z,RT GesuriId Jember PDIPerjuanganMnang PDIPerjuangan Yoseph Umarhadi memanfaatkan waktu reses DPR dengan mengunjungi beberapa tempat di Dapilnya sesuai dengan laporan dan keluhan masyarakat umarhadi_yoseph DPR_RI dprreses aspirasimasyarakat,RT gesuriid jember pdiperjuanganmnang pdiperjuangan yoseph umarhadi memanfaatkan waktu reses DPR dengan mengunjungi beberapa tempat di dapilnya sesuai dengan laporan dan keluhan masyarakat umarhadi_yoseph DPR_RI dprreses aspirasimasyarakat,0.8,0.2,0.447213595499958,positive,rt gesuriid jember pdiperjuanganmnang pdiperjuangan yoseph umarhadi utilized the DPR's constituency outreach service community visit time by visiting several places in his electoral district in accordance with community reports and complaints umarhadi_yoseph dpr_ri dpr constituency outreach service community visit community aspirations
10543,2018-07-23T13:09:25.000Z,Kalau saya menjadi Anggota DPR saya berniat meluruskan kebijakan ini Membereskan RUU Kewirausahaan misalnya UU kita harus siap mengatur dan mendorong rakyat berkompetisi di MEA lalu secara global Kita harus lindungi rakyat dari predator asing! Tidak boleh naif lagi,jika saya menjadi anggota DPR saya berniat meluruskan kebijakan ini membereskan RUU kewirausahaan misalnya UU kita harus siap mengatur dan mendorong rakyat berkompetisi di MEA lalu secara global kita harus lindungi rakyat dari predator asing ! tidak boleh naif lagi,1.0,0.25,0.0,positive,"If I become a member of the DPR, I intend to straighten out this policy, clearing up the entrepreneurship bill, for example, we must be ready to regulate and encourage people to compete in the world and globally, we must protect the people from foreign predators! can't be naive anymore"
10545,2018-07-23T10:15:05.000Z,Kebijakan BUMN sbg kendaraan kepentingan penguasa ZHOLIM Sarang timses CSR diarahkan utk timses Keuangan BUMN digorok BUMN jd bancakan BUMN kolaps dijual Knp KALIAN cuma melongo knp KALIAN tertular PLANGA PLONGO Cc,kebijakan BUMN sebagai kendaraan kepentingan penguasa ZHOLIM sarang timses CSR diarahkan untuk timses keuangan BUMN digorok BUMN jadi bancakan BUMN kolaps dijual kenapa KALIAN cuma melongo kenapa KALIAN tertular PLANGA PLONGO cc,-3.4,-0.85,0.5477225575051661,negative,"SOE policy as a vehicle for the interests of the unjust rulers, nest of CSR teams directed at the SOE's financial team, the SOE's throat was slashed, the SOE became a bank, the SOE collapsed, it was sold, why questioning failed, disappointed, you just stared, why questioning failed, disappointed, you were infected by planga plongo cc"
10568,2018-07-21T18:44:59.000Z,Inginkan Perubahan Abdul basyid Has Maju DPR RI untuk Perjuangkan Aspirasi Rakyat Kepri,inginkan perubahan abdul basyid has maju DPR RI untuk perjuangkan aspirasi rakyat kepri,0.8,0.2,0.447213595499958,positive,Wants change Abdul Basyid has run for the Indonesian House of Representatives to fight for the aspirations of the people of the Republic of Indonesia
10571,2018-07-21T15:44:09.000Z,Dear Bukankah Anda bagian dari penjaga kedamaian? Bukankah Anda memiliki aturan dlm menjaga kedamaian medsos? Bukankah Anda pelaksana undang undang yg sudah disepakati dgn Nitizen? Jika DEMIKIAN KENAPA AKUN PENEBAR HOAX DIBIARKAN SPT ITU? TangkapFadliDzon,dear bukankah anda bagian dari penjaga kedamaian ? bukankah anda memiliki aturan dalam menjaga kedamaian medsos ? bukankah anda pelaksana undang undang yang sudah disepakati dengan nitizen ? jika DEMIKIAN KENAPA AKUN PENEBAR HOAX DIBIARKAN SEPERTI ITU ? tangkapfadlidzon,-2.2,-0.55,0.4472135954999579,negative,"Dear, aren't you part of the peacekeepers? Don't you have rules for maintaining peace on social media? Aren't you evading dodging avoiding accountability? There are laws that have been agreed with netizens? If so, why was questioning failed, disappointed, was the account spreader of lying fake disinformation fraud left like that? catchfadlidzon"
10642,2018-07-16T07:20:40.000Z,masih menunggu kebijakan mereka jika ada,masih menunggu kebijakan mereka jika ada,-1.2,-0.3,0.447213595499958,negative,still waiting for their policy if there is one
10649,2018-07-15T09:51:06.000Z,Jika kita anggota DPR harusnya kita berhasil menciptakan aturan kebijakan yang lebih berfaedah dibandingkan DPRnya Thailand sebelum kita ingin petani kita lebih mumpuni dari petani Thailand,jika kita anggota DPR harusnya kita berhasil menciptakan aturan kebijakan yang lebih berfaedah dibandingkan dprnya thailand sebelum kita ingin petani kita lebih mumpuni dari petani thailand,-0.4,-0.1,0.5477225575051662,negative,"If we are members of the DPR, we should succeed in creating policy rules that are more useful than the Thai DPR before we want our farmers to be more qualified than Thai farmers."
10660,2018-07-14T03:06:09.000Z,Bangku bangku DPR kosong saat Rapat paripurna RAPBN ! Pertanyaannya apakah masih mau memilih wakil Rakyat yg seperti itu? PSI akan mengubah wajah DPR dengan orang orang yang bertanggung jawab,bangku bangku DPR kosong saat rapat paripurna RAPBN ! pertanyaannya apakah masih mau memilih wakil rakyat yang seperti itu ? PSI akan mengubah wajah DPR dengan orang orang yang bertanggung jawab,-2.8,-0.7,0.4472135954999578,negative,"The DPR benches are empty during the rapbn plenary meeting! The question is, do you still want to elect people's representatives like that? PSI will change the face of the DPR with the people in charge"
10662,2018-07-13T16:27:50.000Z,Terimakasih kepada Kepala BPPT Tim Pansus RUU Sinas Iptek Komisi DPR RI Komisaris PT Garam Dirut dan Direksi PT Garam Pusyantek BPPT IABIE IKASMANSATAMA Smansa Magelang atas,terimakasih kepada kepala BPPT tim pansus RUU sinas iptek komisi DPR RI komisaris PT garam dirut dan direksi PT garam pusyantek BPPT IABIE IKASMANSATAMA smansa magelang atas,1.4,0.35,0.5477225575051661,positive,"Thank you to the Head of BPPT, the special committee team, Bill Sinas Iptek, DPR RI Commission, Commissioners of PT Garam, Managing Director and Directors of PT Garam Pusyantek BPPT Iabie Ikasmansatama, Smansa Magelang Atas."
10663,2018-07-13T15:14:32.000Z,Waduh msk org kampung sndiri gak tau sih masa reses ngapain aje? Ngetuit? Lg gak reses jg ngetuit? Mending jgn jd anggota DPR mas jd bajer aje,waduh masuk orang kampung sendiri tidak tau sih masa reses mengapai aje ? ngetuit ? lagi tidak reses juga ngetuit ? mending jangan jadi anggota DPR mas jadi bajer saja,-3.0,-0.75,0.7071067811865476,negative,"Wow, come in, the village people themselves don't know about the period of constituency outreach service community visit. Why did questioning fail and I was disappointed? tweeting? Isn't the constituency outreach service community visit also catching on? It's better not to become a member of the DPR, bro, just be a bastard"
10682,2018-07-12T06:56:31.000Z,yth adnggota dpr beginikah mencerminkan wakil rakyat ?,yth adnggota dpr beginikah mencerminkan wakil rakyat ?,-2.0,-0.5,0.7071067811865476,negative,"Dear DPR members, does this reflect the people's representatives?"
10706,2018-07-10T07:16:17.000Z,Berikut berikut rekomendasi Fraksi Partai Gerindra di terkait Rancangan Undang Undang Tentang Pertanggungjawaban Atas Pelaksanaan Anggaran Pendapatan dan Belanja Negara Tahun Anggaran,berikut berikut rekomendasi fraksi partai gerindra di terkait rancangan undang undang tentang pertanggungjawaban atas pelaksanaan anggaran pendapatan dan belanja negara tahun anggaran,0.0,0.0,0.0,neutral,Following are the recommendations of the Gerindra party faction regarding the draft law regarding accountability for evading dodging avoiding accountability for the state budget for state revenues and expenditures for the fiscal year
10726,2018-07-09T03:40:00.000Z,KLU TOH FRAKSI ANDA TDK MENYETUJUI UU ITU KAN BUKAN BERARTI MEMBOHONGI RAKYAT KRN RUU TDK AKAN BISA MENJADI UU APABILA TDK DISETUJUI OLEH MAYORITAS FRAKSI anggota DPR di sidang Paripurna bukan ? JADI TLG HARGAI JUGA HAK KOLEGA ANDA YG SETUJU,JIKA TOH FRAKSI ANDA TIDAK MENYETUJUI UU ITU KAN BUKAN BERARTI MEMBOHONGI RAKYAT KARENA RUU TIDAK AKAN BISA MENJADI UU APABILA TIDAK DISETUJUI OLEH MAYORITAS FRAKSI anggota DPR di sidang paripurna bukan ? JADI TOLONG HARGAI JUGA HAK KOLEGA ANDA YANG SETUJU,-0.2,-0.05,0.447213595499958,negative,"Even if your faction doesn't agree with the law, that doesn't mean it's lying illegally, deceptive fraud to the people because the bill won't become law if it isn't approved supported, agreed endorsed by the majority of the DPR member factions in the plenary session, right? So please also respect the rights of your colleagues who agree"
10786,2018-07-03T07:43:37.000Z,Pernyataan Presiden Joko Widodo Jokowi yang mengatakan jika Komisi Pemilihan Umum KPU diberikan kewenangan oleh Undang Undang untuk membuat peraturan mendapat tanggapan keras dari Ketua DPR RI Bambang Soesatyo Jokowi DPR,pernyataan presiden joko widodo jokowi yang mengatakan jika komisi pemilihan umum KPU diberikan kewenangan oleh undang undang untuk membuat peraturan mendapat tanggapan keras dari ketua DPR RI bambang soesatyo jokowi DPR,-0.4,-0.1,0.5477225575051662,negative,"President Joko Widodo Jokowi's statement saying that the KPU General Election Commission was given the authority by law to make regulations received a strong response from the chairman of the Republic of Indonesia's DPR, Bambang Soesatyo Jokowi."
10794,2019-12-30T15:11:17.000Z,Warga Sangatta Selatan Antusias Hadiri Reses Anggota DPR RI,warga sangatta selatan antusias hadiri reses anggota DPR RI,0.8,0.2,0.447213595499958,positive,Very Ta Selatan residents enthusiastically attended the Constituency Outreach Service Community Visit for members of the Indonesian House of Representatives
10795,2019-12-30T15:04:18.000Z,JOURNAL RESES DPR RI WARGA DESAK TETI NYALON BUPATI CILACAP via,JOURNAL RESES DPR RI WARGA DESAK TETI NYALON BUPATI CILACAP via,0.0,0.0,0.0,neutral,journal constituency outreach service community visit DPR RI citizens pressured demanded protested urged teti nominate regent of cilacap via
10827,2019-12-29T06:36:14.000Z,Tak hanya soal RUU KPK sejumlah pihak turut memberi sorotan terhadap figur Firli Bahuri yang kini menjabat sebagai Ketua Ia diduga pernah melakukan pelanggaran etik saat masih menjabat sebagai Deputi Penindakan KPK CNNIndonesia,tak hanya soal RUU KPK sejumlah pihak turut memberi sorotan terhadap figur firli bahuri yang kini menjabat sebagai ketua ia diduga pernah melakukan pelanggaran etik saat masih menjabat sebagai deputi penindakan KPK cnnindonesia,-1.0,-0.25,0.7071067811865476,negative,"Not only about the KPK bill, a number of parties have also put the spotlight on the figure of Firli Bahuri, who now serves as chairman, he is suspected of having committed dodging, avoiding accountability, not an ethical violation while still serving as deputy for prosecution at the Indonesian KPK."
