no,timestamp,teks,teks_processed,sentiment,compound_score,dominant_topic,topic_probability
9557,2018-10-19T13:25:56.000Z,Transparansi anggaran harus diberlakukan untuk mengurangi celah bagi para koruptor di Malang kedepannya Wakil Rakyat harus bisa menjadi seorang yang mewakili aspirasi rakyat Disisi lain pendidikan adalah fokus,transparansi anggaran harus diberlakukan untuk mengurangi celah bagi para koruptor di malang kedepannya wakil rakyat harus bisa menjadi seorang yang mewakili aspirasi rakyat disisi lain pendidikan adalah fokus,negative,-0.9690,1,0.3149
9558,2018-10-19T10:50:16.000Z,Wakil rakyat kok ngga paham bahwa kebebasan berpendapat kita dibatasi oleh undang undang? Negara ini memang bebas tapi kebebasan dibatasi sebatas yg ditentukan oleh ketentuan hukum dan peraturan per UU an yg ada,wakil rakyat kok tidak paham bahwa kebebasan berpendapat kita dibatasi oleh undang undang ? negara ini memang bebas tetapi kebebasan dibatasi sebatas yang ditentukan oleh ketentuan hukum dan peraturan per UU an yang ada,negative,-0.4588,3,0.7417
9563,2018-10-19T08:18:06.000Z,Komisi XI DPR RI Minta Masukan Unpad Terkait RUU Bea Meterai,komisi XI DPR RI meminta masukan unpad terkait RUU bea meterai,negative,-0.5160,1,0.4418
9569,2018-10-18T17:16:59.000Z,Jangan banyak bacot lu di sosmed Klo lu mmg kerja untuk rakyat protes kebijakan di gedung DPR JGN di sosmed Apa prestasi kamu zon kaya emak yg rempong di pasar,jangan banyak bacot kamu di sosmed jika kamu memang kerja untuk rakyat protes kebijakan di gedung DPR JANGAN di sosmed apa prestasi kamu zon seperti emak yang repot di pasar,negative,-0.8854,5,0.3872
9570,2018-10-18T13:09:26.000Z,Dewan Perwakilan Rakyat Daerah DPRD Kab Mamuju tengah Sulbar akan menggelar Rapat Paripurna terkait penetapan Ranperda APBD perubahan TA sekaligus penyerahan KUA PPAS APBD pokok TA Pada hari jumat pukul wita Kamis,dewan perwakilan rakyat daerah DPRD kab mamuju tengah sulbar akan menggelar rapat paripurna terkait penetapan ranperda APBD perubahan TA sekaligus penyerahan KUA PPAS APBD pokok TA pada hari jumat pukul wita kamis,negative,-0.6289,1,0.4860
9573,2018-10-18T11:56:31.000Z,Bohong pada rakyat itu sudah spt menjadi garis kebijakan rezim ya,bohong pada rakyat itu sudah seperti menjadi garis kebijakan rezim ya,negative,-0.8466,2,0.7502
9575,2018-10-18T11:38:50.000Z,Jelas anda bukan wakil Rakyat tp wakil kelompok Zonk anda tidak pantas lg menjadi wakilnya Rakyat ahmad dani urusan Polisi bukan urusan wakil ketua DPR biar polisi yang Urus anda urusin aspirasi Rakyat jangan aspirasi kelompok anda,jelas anda bukan wakil rakyat tetapi wakil kelompok zonk anda tidak pantas lagi menjadi wakilnya rakyat ahmad dani urusan polisi bukan urusan wakil ketua DPR biar polisi yang urus anda urus aspirasi rakyat jangan aspirasi kelompok anda,negative,-0.9687,2,0.3716
9576,2018-10-18T11:34:01.000Z,Ahmad Dhani Tersangka Fadli Zon Anggap Hukum Tidak Netral,ahmad dhani tersangka fadli zon anggap hukum tidak netral,negative,-0.7882,5,0.4900
9580,2018-10-18T03:37:04.000Z,Semoga ada tindak lanjut dan pemberitahuan lebih lanjut terkait wacana pengkajian ulang kebijakan bebas visa Indonesia,semoga ada tindak lanjut dan pemberitahuan lebih lanjut terkait wacana pengkajian ulang kebijakan bebas visa indonesia,negative,-0.8225,4,0.5080
9581,2018-10-18T02:07:31.000Z,anggota DPR males dateng rapat tuch biasa aj gausa heran laaaaaah males dateng rapat tuch dah masuk SOP mereka Terbaru Kilas,anggota DPR malas datang rapat tuh biasa saja enggak usah heran laah malas datang rapat tuh deh masuk SOP mereka terbaru kilas,negative,-0.9451,4,0.2717
9582,2018-10-18T01:08:23.000Z,Selamat hari parlemen Oktober kemarin Semogga semakin meningkatkan peran dan Fungsi lembaga legislatif sebagai lembaga aspirasi rakyat dan harapan rakyat,selamat hari parlemen oktober kemarin semogga semakin meningkatkan peran dan fungsi lembaga legislatif sebagai lembaga aspirasi rakyat dan harapan rakyat,negative,-0.3818,3,0.3095
9586,2018-10-17T14:46:10.000Z,Bagaimana nih Pak Presiden Katanya kekayaan bangsa ini dilindungi oleh Undang Undang dasar kita Tapi kenyataannya koq banyak aset negara yang tergadaikan termasuk Pelabuhan Nasional??? saveJICT savetpkkoja,bagaimana ini pak presiden katanya kekayaan bangsa ini dilindungi oleh undang undang dasar kita tetapi kenyataannya kok banyak aset negara yang tergadaikan termasuk pelabuhan nasional ? ? savejict savetpkkoja,negative,-0.8253,3,0.5229
9588,2018-10-17T12:19:10.000Z,Halo Mba kalau mba di Komisi II DPR RI selain e budgeting apakah akan memperjuangkan RUU Sistem Pengendalian Intern Pemerintah demi Indonesia yang lebih baik yang bebas korupsi?,halo mbak jika mbak di komisi II DPR RI selain e budgeting apakah akan memperjuangkan RUU sistem pengendalian intern pemerintah demi indonesia yang lebih baik yang bebas korupsi ?,negative,-0.5514,4,0.4687
9593,2018-10-17T07:56:46.000Z,Badan Anggaran DPR Rapat Kerja dengan Menteri Keuangan Menteri PPN Kepala Bappenas Menteri Hukum dan HAM serta Gubernur Bank Indonesia terkait Pembicaraan Tk I Pembahasan RUU tentang APBN TA dan Pembahasan Postur Sementara RUU APBN Rabu Oktober BanggarDPR,badan anggaran DPR rapat kerja dengan menteri keuangan menteri PPN kepala bappenas menteri hukum dan HAM serta gubernur bank indonesia terkait pembicaraan tak i pembahasan RUU tentang APBN TA dan pembahasan postur sementara RUU APBN rabu oktober banggardpr,negative,-0.7456,1,0.4999
9594,2018-10-17T07:20:48.000Z,Ketua Badan Anggaran DPR RI Said Abdullah mengatakan bahwa asumsi dasar ekonomi makro ini harus segera ditetapkan mengingat RAPBN harus sudah dibawa ke rapat paripurna pada Oktober JAMANnyaJOKOWI IndonesiaMaju,ketua badan anggaran DPR RI said abdullah mengatakan bahwa asumsi dasar ekonomi makro ini harus segera ditetapkan mengingat RAPBN harus sudah dibawa ke rapat paripurna pada oktober jamannyajokowi indonesiamaju,negative,-0.8225,2,0.3547
9597,2018-10-17T04:24:50.000Z,Sepenting apa sih anggota DPR pakai kaca anti peluru Kalau dalam memperjuangkan aspirasi rakyat tidak pernah dilakukan kecuali untuk kepentingan partai golongan dan bisnisnya sendiri Mereka lebih banyak datang duduk diam duit Kalaupun ngomong HOAX uang,sepenting apa sih anggota DPR pakai kaca anti peluru jika dalam memperjuangkan aspirasi rakyat tidak pernah dilakukan kecuali untuk kepentingan partai golongan dan bisnisnya sendiri mereka lebih banyak datang duduk diam duit kalaupun mengomong HOAX uang,negative,-0.9371,2,0.3821
9599,2018-10-17T01:46:21.000Z,RT MRomahurmuziy Kemarin Rapat Paripurna DPR_RI telah menyetujui RUU Pesantren Pendidikan Keagamaan mjd RUU Inisiatif DPR FPPP_DPRRI sbg pengusul sejak diputuskan di Mukernas PPP di Ponpes Lirboyo berterimakasih kpd semua pihak yg memb,RT mromahurmuziy kemarin rapat paripurna DPR_RI telah menyetujui RUU pesantren pendidikan keagamaan mjd RUU inisiatif DPR FPP_DPRRI sebagai pengusul sejak diputuskan di mukernas PP di ponpes lirboyo berterimakasih kepada semua pihak yang memb,negative,-0.6289,1,0.4665
9608,2018-10-16T09:38:04.000Z,Konperensi Pers Terkait RUU Ponpok Pesantren Pendidikan Keagamaan,konperensi pers terkait RUU ponpok pesantren pendidikan keagamaan,negative,-0.5267,1,0.4996
9612,2018-10-16T04:32:29.000Z,Penyerahan Pandangan Fraksi Fraksi terkait RUU Usul Inisiatif Anggota tentang Pesantren dan Keagamaan kepada Pimpinan dari ParipurnaDPR,penyerahan pandangan fraksi fraksi terkait RUU usul inisiatif anggota tentang pesantren dan keagamaan kepada pimpinan dari paripurnadpr,negative,-0.3818,1,0.8819
9627,2018-10-15T17:30:14.000Z,kebijakan mentan membuat peternak kalang kabut peluru nyasar membuat anggota dpr kalang kabut liat dia gak peka peka bikin saya kalang kabut GantiMentan,kebijakan mentan membuat peternak kalang kabut peluru nyasar membuat anggota dpr kalang kabut lihat dia tidak peka peka bikin saya kalang kabut gantimentan,negative,-0.9569,2,0.7509
9630,2018-10-15T11:00:28.000Z,Waaaaaaah Malahan DPR wakil rakyat kalo nggak sesuai dengan aspirasi rakyat ya dikritik juga donk Gimana sih? Tes nya dulu kek gimana ya bisa lulus,wah malahan DPR wakil rakyat jika tidak sesuai dengan aspirasi rakyat ya dikritik juga dong bagaimana sih ? tes nya dulu seperti bagaimana ya bisa lulus,negative,-0.6093,5,0.5173
9631,2018-10-15T08:54:43.000Z,Ajaran Sesat Fahri Rakyat Boleh Menyerang Kepresidenan tapi Tidak Boleh Menyerang DPR,ajaran sesat fahri rakyat boleh menyerang kepresidenan tetapi tidak boleh menyerang DPR,negative,-0.8523,2,0.5244
9632,2018-10-15T10:26:56.000Z,udah tau apa sih yg bener di mata ente kebijakan pak dan miris ada wakil rakyat kya ente,sudah tau apa sih yang benar di mata ente kebijakan pak dan miris ada wakil rakyat kaya ente,negative,-0.6682,5,0.3954
9633,2018-10-15T08:36:21.000Z,Dulu pd rapat Paripurna DPR sdh Direkomendasikan ke Pak oleh tp smpe skrg g tersentuh sm sekali Mgkn mmg hrs menunggu Pak dl jd presiden br smw jelas tuntas,dulu pada rapat paripurna DPR sudah direkomendasikan ke pak oleh tetapi sampai sekarang tidak tersentuh sama sekali mungkin memang harus menunggu pak dulu jadi presiden baru semua jelas tuntas,negative,-0.7510,2,0.4039
9634,2018-10-15T08:16:35.000Z,DPRD Landak Sampaikan Pandangan Umum Fraksi Fraksi Terhadap Raperda Pembangunan Industri Dewan Perwakilan Rakyat Daerah DPRD Landak menggelar Rapat Paripurna ke di Ruang Sidang DPRD Landak Ngabang Senin Pagi,DPRD landak sampaikan pandangan umum fraksi fraksi terhadap raperda pembangunan industri dewan perwakilan rakyat daerah DPRD landak menggelar rapat paripurna ke di ruang sidang DPRD landak ngabang senin pagi,negative,-0.2023,5,0.4981
9639,2018-10-15T04:39:16.000Z,sekarang saya sbg rakyat tanya kepada bapak fadli prestasi bapak apa sbg anggota dpr ri ??? Seharusnya mendukung kebijakan pemerintahan bukan malah ngomng sana sini negatif tentang presiden,sekarang saya sebagai rakyat tanya kepada bapak fadli prestasi bapak apa sebagai anggota dpr ri ? ? seharusnya mendukung kebijakan pemerintahan bukan malah mengomong sana sini negatif tentang presiden,negative,-0.7870,2,0.4808
9641,2018-10-15T01:17:47.000Z,Sarapan dl mas bud biar kuat kw liat kenyataan! kata dan semangat mu dlm ber retorika jauh dr harapan!! Sbgai anggota DPR sj kau g pnh masuk bud! Dgn cara apa kau perjuangkan aspirasi rakyat bud?,sarapan dulu mas bud biar kuat kau lihat kenyataan ! kata dan semangat mu dalam ber retorika jauh dari harapan ! ! sebagai anggota DPR saja kau tidak pnh masuk bud ! dengan cara apa kau perjuangkan aspirasi rakyat bud ?,negative,-0.5216,5,0.4235
9644,2018-10-14T03:07:05.000Z,Bagus masih ada anggota dewan yang bersuara dengan kritis dalam menanggapi kebijakan eksekutif yang potensial menimbulkan konflik dan mengancam keberagaman Kita butuh,bagus masih ada anggota dewan yang bersuara dengan kritis dalam menanggapi kebijakan eksekutif yang potensial menimbulkan konflik dan mengancam keberagaman kita butuh,negative,-0.5859,5,0.3082
9646,2018-10-13T11:16:34.000Z,Jumat Oktober Badan Legislasi DPR RI melaksanakan diplomasi parlemen ke National Asemblea Ecuador terkait dengan pembahasan RUU Masyarakat Adat Pemerintah Ekuador telah,jumat oktober badan legislasi DPR RI melaksanakan diplomasi parlemen ke national asemblea ecuador terkait dengan pembahasan RUU masyarakat adat pemerintah ekuador telah,negative,-0.9153,1,0.7687
9647,2018-10-13T06:42:19.000Z,Pemerintah Kabupaten Bojonegoro bersama Dewan Perwakilan Rakyat Daerah DPRD Kabupaten Bojonegoro Jawa Timur menandatangani persetujuan Kebijakan Umum Anggaran KUA Prioritas Plafon Anggaran Sementara PPAS,pemerintah kabupaten bojonegoro bersama dewan perwakilan rakyat daerah DPRD kabupaten bojonegoro jawa timur menandatangani persetujuan kebijakan umum anggaran KUA prioritas plafon anggaran sementara PPAS,negative,-0.3818,4,0.4164
9649,2018-10-12T16:15:53.000Z,Kesimpulan Utk Indonesia kebijakan BBM satu harga adalah suatu keniscayaan tdk akan berkelanjutan sebab BBM impor subsidi adalah penyebab melonjaknya konsumsi impor BBM penyebab defisit perdagangan migas defisit transaksi berjalan pemukul telak nilai tukar rupiah,kesimpulan untuk indonesia kebijakan BBM satu harga adalah suatu keniscayaan tidak akan berkelanjutan sebab BBM impor subsidi adalah penyebab melonjaknya konsumsi impor BBM penyebab defisit perdagangan migas defisit transaksi berjalan pemukul telak nilai tukar rupiah,negative,-0.8544,2,0.6741
9651,2018-10-12T15:31:18.000Z,Apakah seorang anggota DPR sekalipun sedang reses dan kunker diperbolehkan mengajak khalayak untuk berbuat kekerasan apalagi mengajak membunuh? Logikanya saja dimana bung?,apakah seorang anggota DPR sekalipun sedang reses dan kunker diperbolehkan mengajak khalayak untuk berbuat kekerasan apalagi mengajak membunuh ? logikanya saja dimana bung ?,negative,-0.7149,2,0.5687
9652,2018-10-12T14:28:25.000Z,Wakil rakyat adalah wakil kepada seluruh rakyat kawasan yang diwakilinya di Dewan Rakyat atau Dewan Undangan Negeri tidak kira bangsa dan agama Tugas Wakil Rakyat adalah menggubal undang undang legislator yang,wakil rakyat adalah wakil kepada seluruh rakyat kawasan yang diwakilinya di dewan rakyat atau dewan undangan negeri tidak kira bangsa dan agama tugas wakil rakyat adalah menggubal undang undang legislator yang,negative,-0.8906,2,0.3485
9653,2018-10-12T12:44:37.000Z,JANJI NAWACITA Presiden Dorong Percepatan RUU Masyarakat Adat Raker Pmerintah dan tgl Juli menyepakati pmbahasan RUUMasyarakatAdat slama masa sidang paling lmbat Jan di Istana Merdeka berjanji,JANJI NAWACITA presiden dorong percepatan RUU masyarakat adat raker pmerintah dan tanggal juli menyepakati pmbahasan ruumasyarakatadat selama masa sidang paling lmbat jangan di istana merdeka berjanji,negative,-0.4588,5,0.3549
9654,2018-10-12T12:13:37.000Z,Saya ingin cadangkan undang undang baru dibuat untuk mengelakkan penipuan politik kepada rakyat Malaysia Setiap janji wakil rakyat MP perlu dianggap sebagai kontrak dengan orang awam Janji yang tidak dikotakan atau penipuan dianggap sebagai Breach of contract,saya ingin cadangkan undang undang baru dibuat untuk mengelakkan penipuan politik kepada rakyat malaysia setiap janji wakil rakyat MP perlu dianggap sebagai kontrak dengan orang awam janji yang tidak dikotakan atau penipuan dianggap sebagai breach of contract,negative,-0.9495,5,0.6284
9655,2018-10-12T09:54:23.000Z,Janji Presiden Joko Widodo RUU Masyarakat Adat akan segera disahkan Tapi sampai sekarang pemerintah kok belum memberikan Daftar Inventarisasi Masalah DIM ke DPR RI yah? Piye toh! RUUMasyarakatAdat,janji presiden joko widodo RUU masyarakat adat akan segera disahkan tetapi sampai sekarang pemerintah kok belum memberikan daftar inventarisasi masalah DIM ke DPR RI yah ? piye toh ! ruumasyarakatadat,negative,-0.5236,1,0.2893
9659,2018-10-12T04:42:00.000Z,undang undang terpakai kat wakil rakyat saja ka? bangang mcm mankuk tingkat ko ni,undang undang terpakai kat wakil rakyat saja ka ? bangang macam mankuk tingkat kok ini,negative,-0.7184,5,0.4776
9660,2018-10-12T04:22:57.000Z,Beliau itu dpr ri salah satu fungsinya mengawasi kebijakan pemerintah,beliau itu dpr ri salah satu fungsinya mengawasi kebijakan pemerintah,negative,-0.6369,5,0.6384
9663,2018-10-11T06:53:34.000Z,UU ITE vs UU MD Apakah bisa sejalan? tanya Kepala Divisi Humas Polri Irjen Setyo Wasisto mengungkapkan alasan permintaan tersebut lantaran penyidik terbentur oleh Undang Undang MD untuk memeriksanya pemanggilan anggota dewan harus seizin Presiden,UU ITE vs UU MD apakah bisa sejalan ? tanya kepala divisi humas polri irjen setyo wasisto mengungkapkan alasan permintaan tersebut lantaran penyidik terbentur oleh undang undang MD untuk memeriksanya pemanggilan anggota dewan harus seizin presiden,negative,-0.9517,3,0.5364
9664,2018-10-11T06:32:09.000Z,Menunggu Kesadaran Anggota DPR Klarifikasi Hoaks Ratna Sarumpaet ke Polisi,menunggu kesadaran anggota DPR klarifikasi hoaks ratna sarumpaet ke polisi,negative,-0.2023,2,0.5267
9666,2018-10-11T06:07:11.000Z,RUU Daerah Kepulauan Mendesak Disahkan DPDRI RMOL Dewan Perwakilan Daerah DPD RI bersama Dewan Perwakilan Ratyat DPR RI membahas RUU tentang Daerah Kepulauan RUU yang diinisiasi oleh DPD,RUU daerah kepulauan mendesak disahkan DPDRI RMOL dewan perwakilan daerah DPD RI bersama dewan perwakilan ratyat DPR RI membahas RUU tentang daerah kepulauan RUU yang diinisiasi oleh DPD,negative,-0.1860,5,0.6431
9676,2018-10-10T09:15:39.000Z,itu namanya gagasan dan di implemaentasikan dalam kebijakan atau peraturan tidak kayak kamu yg bilang bukan petugas partai tpi gak mau mundur dari anggota DPR,itu namanya gagasan dan di implemaentasikan dalam kebijakan atau peraturan tidak seperti kamu yang bilang bukan petugas partai tetapi tidak mau mundur dari anggota DPR,negative,-0.8168,6,0.3611
9679,2018-10-10T05:15:12.000Z,ente itu wakil rakyat aspirasi rakyat sampein diskusiin selesein jan malah provokasi ke rakyat astaga!!,ente itu wakil rakyat aspirasi rakyat sampaikan diskusiin selesein jangan malah provokasi ke rakyat astaga ! !,negative,-0.2905,5,0.6451
9681,2018-10-10T04:31:22.000Z,Harus Lengser Demi Konstitusi! Kebijakan Sesat Rakyat Tidak Percaya Jokowi Mulutmu harimaumu,harus lengser demi konstitusi ! kebijakan sesat rakyat tidak percaya jokowi mulutmu harimaumu,negative,-0.9440,2,0.6745
9688,2018-10-09T13:21:44.000Z,Ini beneran nih pak ??? Kenapa anggota yang merupakan wakil rakyat tidak mengusulkan RUU tentang hak rakyat menggugat pemerintah ??? Sementara semua dipilih oleh rakyat kan seriustanya,ini benaran ini pak ? ? kenapa anggota yang merupakan wakil rakyat tidak mengusulkan RUU tentang hak rakyat menggugat pemerintah ? ? sementara semua dipilih oleh rakyat kan seriustanya,negative,-0.8707,5,0.4230
9690,2018-10-09T11:44:37.000Z,RUU Daerah Kepulauan Mendesak Disahkan RMOL Dewan Perwakilan Daerah DPD RI bersama Dewan Perwakilan Ratyat DPR RI membahas RUU tentang Daerah Kepulauan RUU yang diinisiasi oleh DPD DPDRI,RUU daerah kepulauan mendesak disahkan RMOL dewan perwakilan daerah DPD RI bersama dewan perwakilan ratyat DPR RI membahas RUU tentang daerah kepulauan RUU yang diinisiasi oleh DPD DPDRI,negative,-0.1860,5,0.6431
9695,2018-10-09T04:41:38.000Z,RUU Daerah Kepulauan Mendesak Disahkan RMOL Dewan Perwakilan Daerah DPD RI bersama Dewan Perwakilan Ratyat DPR RI membahas RUU tentang Daerah Kepulauan RUU yang diinisiasi oleh DPD,RUU daerah kepulauan mendesak disahkan RMOL dewan perwakilan daerah DPD RI bersama dewan perwakilan ratyat DPR RI membahas RUU tentang daerah kepulauan RUU yang diinisiasi oleh DPD,negative,-0.1860,5,0.6903
9703,2018-10-09T01:29:41.000Z,Sinergitas Parlemen IWF WB Ciptakan Kebijakan Politik yang Positif,sinergitas parlemen IWF WB ciptakan kebijakan politik yang positif,negative,-0.5766,2,0.4288
9704,2018-10-08T15:39:46.000Z,klo uang reses anggota dewan M buat bantu bencana palu itu jauh lbh baik Zon setuju harus krna buat rakyat scra lo pada kan wakil rakyat Zon,jika uang reses anggota dewan sama buat bantu bencana palu itu jauh lebih baik zon setuju harus karena buat rakyat secara lo pada kan wakil rakyat zon,negative,-0.6072,5,0.4572
9707,2018-10-08T13:40:53.000Z,Kami kwatir krn blm turunnya rekomendasi atas kasus tsb diduga ini bagian dari konspirasi antara partai pendukung petahana mayoritas untuk mempetieskan temuan tsb Jadi tentu tdk ada dasarnya untuk menindaklanjuti krn blm ada perintah dari menteri BUMN,kami kawatir karena belum turunnya rekomendasi atas kasus tersebut diduga ini bagian dari konspirasi antara partai pendukung petahana mayoritas untuk mempetieskan temuan tersebut jadi tentu tidak ada dasarnya untuk menindaklanjuti karena belum ada perintah dari menteri BUMN,negative,-0.6369,2,0.3783
9716,2018-10-07T17:15:28.000Z,Timwas tidak perlu itu pak Karena di yudikatif sudah ada tim audit selesaikan saja undang undang yg terbengkelai proses nya Di DPR Politikus Beradab dan Berakhlak,timwas tidak perlu itu pak karena di yudikatif sudah ada tim audit selesaikan saja undang undang yang terbengkelai proses nya di DPR politikus beradab dan berakhlak,negative,-0.9323,2,0.5662
9718,2018-10-07T14:50:01.000Z,Januari DPR RI Tetapkan RUU Pengawasan Obat dan Makanan Warta Ekonomi,januari DPR RI tetapkan RUU pengawasan obat dan makanan warta ekonomi,negative,-0.6289,6,0.6434
9719,2018-10-07T13:40:09.000Z,Wakil rakyat penyebar hoaks bukanya jadi wakil rakyat yang bener mewakili aspirasi rakyat tapi yang di pikir cuma perutnya sendiri sama klompoknya,wakil rakyat penyebar hoaks bukanya jadi wakil rakyat yang benar mewakili aspirasi rakyat tetapi yang di pikir cuma perutnya sendiri sama klompoknya,negative,-0.5461,5,0.5149
9722,2018-10-07T07:02:20.000Z,Memperjuangkan aspirasi rakyat yg mana?? Yg ada mecah belah masyarakat,memperjuangkan aspirasi rakyat yang mana ? ? yang ada mecah belah masyarakat,negative,-0.6767,2,0.3900
9723,2018-10-07T04:41:44.000Z,Dah telat Dari dulu ngapain aja Mikir rakyat gk Bikin undang undang yg jelas buat rakyat Pokoknya lo nganggur,deh telat dari dulu mengapai saja mikir rakyat tidak bikin undang undang yang jelas buat rakyat pokoknya lo nganggur,negative,-0.9514,2,0.4852
9724,2018-10-07T04:18:16.000Z,ya samalah prof mengadvokasi dapil dan berjuang selalu legislator melahirkan hukum dan kebijakan Napa hrs nyinyir?,ya samalah prof mengadvokasi dapil dan berjuang selalu legislator melahirkan hukum dan kebijakan kenapa harus nyinyir ?,negative,-0.7184,5,0.5707
9727,2018-10-06T23:43:45.000Z,Masing kementrian punya kebijakan apalagi mendekati puasa dan hari lebaran Utk menjaga stabil nya hrg di hari raya Ini umum di lakukan sby juga Dan hanya jt ton ijin import Lagian januari msh awal tahun Baru prediksi Next,masing kementrian punya kebijakan apalagi mendekati puasa dan hari lebaran untuk menjaga stabil nya hrg di hari raya ini umum di lakukan surabaya juga dan hanya juta ton ijin import lagian januari masih awal tahun baru prediksi next,negative,-0.5095,2,0.7431
9730,2018-10-06T17:29:58.000Z,Pak fahry yg terhormat sampaikan langsung kejokowinya katanya dari rakyat aspirasi rakyat kalau tulis disini bukan kepemerintah untuk rakyat lagi berarti inilah yg dinamakan pencitraan pak fahri pencitraan berupa hasutan,pak fahry yang terhormat sampaikan langsung kejokowinya katanya dari rakyat aspirasi rakyat jika tulis disini bukan kepemerintah untuk rakyat lagi berarti inilah yang dinamakan pencitraan pak fahri pencitraan berupa hasutan,negative,-0.8225,5,0.4629
9731,2018-10-06T15:23:23.000Z,Kita ini gak ada kubu kubu an kita rakyat jelata harusnya kalian cebong ataupun kampret mengerti bahwa kalian sudah masuk dalam arus politisi politisi busuk Knp rakyat byk yg teriak? Apa fungsi wakil rakyat? Apakah mereka tidak mampu menyampaikan aspirasi rakyat?,kita ini tidak ada kubu kubu an kita rakyat jelata harusnya kalian cebong ataupun kampret mengerti bahwa kalian sudah masuk dalam arus politisi politisi busuk kenapa rakyat banyak yang teriak ? apa fungsi wakil rakyat ? apakah mereka tidak mampu menyampaikan aspirasi rakyat ?,negative,-0.9805,5,0.7460
9732,2018-10-06T08:12:24.000Z,Gak banget bang nelongso atiq punya wakil rakyat kayak gini janganpernahadalagiwakilrakyatsepertiini yg kerjaannya bukan wakilin atau nyuarain aspirasi rakyat tapi nyuarain aspirasi sendiri,tidak banget bang nelongso atiq punya wakil rakyat seperti begini janganpernahadalagiwakilrakyatsepertiini yang kerjaannya bukan wakilin atau nyuarain aspirasi rakyat tetapi nyuarain aspirasi sendiri,negative,-0.8978,5,0.6425
9733,2018-10-06T05:06:29.000Z,Paripurna DPRD Selayar Agenda Penyerahan Ranperda APBD Perubahan TA SELAYAR Dewan Perwakilan Rakyat Daerah DPRD Kabupaten Kepulauan Selayar melaksanakan Rapat Paripurna Dewan,paripurna DPRD selayar agenda penyerahan ranperda APBD perubahan TA SELAYAR dewan perwakilan rakyat daerah DPRD kabupaten kepulauan selayar melaksanakan rapat paripurna dewan,negative,-0.6289,1,0.3500
9735,2018-10-05T15:45:03.000Z,Melihat rakyat hari ini ikut ikutan menghakimi kebijakan pemerintah menandakan wakil rakyat tidak berfungsi dengan baik,melihat rakyat hari ini ikut ikutan menghakimi kebijakan pemerintah menandakan wakil rakyat tidak berfungsi dengan baik,negative,-0.3124,5,0.7705
9743,2018-10-04T15:20:55.000Z,Jika mengikuti pemikiran pak banyak guberner walikota bupati yg harus diusut krn berbohong krn tdak semua dr mereka yg menepati janji kampanye mreka termasuk wakil rakyat yg berjanji menyuarakan aspirasi rakyat tp akhirnya ga melakukan apa bt rakyat,jika mengikuti pemikiran pak banyak guberner walikota bupati yang harus diusut karena berbohong karena tidak semua dari mereka yang menepati janji kampanye mereka termasuk wakil rakyat yang berjanji menyuarakan aspirasi rakyat tetapi akhirnya tidak melakukan apa buat rakyat,negative,-0.9422,2,0.3607
9744,2018-10-04T14:55:30.000Z,Kunjungan Kerja Spesifik Panja RUU Kebidanan Komisi IX DPR RI Ke Kota Makassar Kamis Oktober Kunjungan antara lain ke Kantor Dinas Kesehatan Provinsi Sulsel untuk bertemu berbagai stakeholder terkait,kunjungan kerja spesifik panja RUU kebidanan komisi IX DPR RI ke kota makassar kamis oktober kunjungan antara lain ke kantor dinas kesehatan provinsi sulsel untuk bertemu berbagai stakeholder terkait,negative,-0.5267,1,0.4457
9745,2018-10-04T14:25:55.000Z,Janji yang gak di tepati kok bisa berasumsi HOAX gak nyambung pak Tapi bisa aja jika dibuat RUU definisi hoax itu termasuk janji yang gak di tepati Salam pak Wakil Rakyat,janji yang tidak di tepati kok bisa berasumsi HOAX tidak menyambung pak tetapi bisa saja jika dibuat RUU definisi hoax itu termasuk janji yang tidak di tepati salam pak wakil rakyat,negative,-0.9744,5,0.4808
9747,2018-10-04T04:14:47.000Z,Berbahaya sekali bangsa ini jikalau wakil rakyat mudah termakan HOAX apa jadinya undang dan kebijakan yang dibuat?,berbahaya sekali bangsa ini jikalau wakil rakyat mudah termakan HOAX apa jadinya undang dan kebijakan yang dibuat ?,negative,-0.3818,2,0.4778
9748,2018-10-04T02:59:38.000Z,Kompas hari ini! Keberpihakan dari ormas agama pada RUU Penghapusan Kekerasan Seksual! GerakBersama,kompas hari ini ! keberpihakan dari ormas agama pada RUU penghapusan kekerasan seksual ! gerakbersama,negative,-0.8118,4,0.3043
9752,2018-10-04T01:38:38.000Z,Panja RUU Waspom Serap Masukan Pelaku Usaha Obat,panja RUU waspom serap masukan pelaku usaha obat,negative,-0.3818,4,0.5648
9760,2018-10-03T02:29:17.000Z,Sebuah hak bukan kebodohan krna setiap manusia mempunyai hak dan di jamin undang undang untuk memilih Fanatik boleh bodoh jangan,sebuah hak bukan kebodohan karena setiap manusia mempunyai hak dan di jamin undang undang untuk memilih fanatik boleh bodoh jangan,negative,-0.4980,2,0.7382
9761,2018-10-02T14:01:29.000Z,Biadab betul yang aniaya bu rsarumpaet video lengkapnya saat doorstop usai memimpin Rapat Paripurna dpr_ri siang tadi link via youtube channel cek di bio fh fahrihamzah,biadab betul yang aniaya bu rsarumpaet video lengkapnya saat doorstop usai memimpin rapat paripurna dpr_ri siang tadi link via youtube channel cek di bio fh fahrihamzah,negative,-0.0717,1,0.5656
