no,timestamp,teks,teks_processed,sentiment,compound_score,tokens_lda,teks_lda_clean
7668,2017-03-17T01:00:09.000Z,Salah satunya adalah beralihnya kekuasaan membentuk undang undang dari Presiden kepada Dewan Perwakilan Rakyat,salah satunya adalah beralihnya kekuasaan membentuk undang undang dari presiden kepada dewan perwakilan rakyat,negative,-0.6369,"['salah', 'satunya', 'beralihnya', 'kekuasaan', 'membentuk', 'undang', 'undang', 'presiden', 'dewan', 'perwakilan', 'rakyat']",salah satunya beralihnya kekuasaan membentuk undang undang presiden dewan perwakilan rakyat
7671,2017-03-16T15:44:29.000Z,Namun wibawa Presiden bisa tundukkan ancaman anggota DPR yg mau menyandra produk legislatif negara gara penolakan RUU Pertembakauan,tetapi wibawa presiden bisa tundukkan ancaman anggota DPR yang mau menyandra produk legislatif negara gara penolakan RUU pertembakauan,negative,-0.8957,"['wibawa', 'presiden', 'tundukkan', 'ancaman', 'menyandra', 'produk', 'legislatif', 'negara', 'gara', 'penolakan', 'pertembakauan']",wibawa presiden tundukkan ancaman menyandra produk legislatif negara gara penolakan pertembakauan
7672,2017-03-16T15:38:39.000Z,Bapak Peesiden sebagai orang politik wajar bila ada anggota DPR mengancam menyandra RUU Pemerintah lain jika RUU Tembakau ditolak,bapak peesiden sebagai orang politik wajar bila ada anggota DPR mengancam menyandra RUU pemerintah lain jika RUU tembakau ditolak,negative,-0.9141,"['peesiden', 'orang', 'politik', 'wajar', 'mengancam', 'menyandra', 'pemerintah', 'tembakau', 'ditolak']",peesiden orang politik wajar mengancam menyandra pemerintah tembakau ditolak
7673,2017-03-16T05:13:09.000Z,Perusak Terumbu Karang Bisa Dijerat Dua Undang Undang,perusak terumbu karang bisa dijerat dua undang undang,negative,-0.5859,"['perusak', 'terumbu', 'karang', 'dijerat', 'undang', 'undang']",perusak terumbu karang dijerat undang undang
7678,2017-03-15T19:21:21.000Z,Kebijakan bebas visa saat ini sama sekali tidak memperhatikan asas resiprositas alias timbal balik dengan negara yang bersangkutan,kebijakan bebas visa saat ini sama sekali tidak memperhatikan asas resiprositas alias timbal balik dengan negara yang bersangkutan,negative,-0.9312,"['kebijakan', 'bebas', 'visa', 'memperhatikan', 'asas', 'resiprositas', 'alias', 'timbal', 'negara', 'bersangkutan']",kebijakan bebas visa memperhatikan asas resiprositas alias timbal negara bersangkutan
7679,2017-03-15T19:20:59.000Z,Mohon sekali kebijakan bebas visa dipertimbangkan juga memperhatikan asas timbal balik dari negara yang bersangkutan,mohon sekali kebijakan bebas visa dipertimbangkan juga memperhatikan asas timbal balik dari negara yang bersangkutan,negative,-0.8651,"['mohon', 'kebijakan', 'bebas', 'visa', 'dipertimbangkan', 'memperhatikan', 'asas', 'timbal', 'negara', 'bersangkutan']",mohon kebijakan bebas visa dipertimbangkan memperhatikan asas timbal negara bersangkutan
7681,2017-03-15T14:57:06.000Z,Keluhan Rakyat tidak dihiraukan oleh wakil RAKYAT sperti kenaikan Listrik tidak ada kebijakan penyesuain Ekonomi Rakyat Spt Mencekik leher,keluhan rakyat tidak dihiraukan oleh wakil RAKYAT seperti kenaikan listrik tidak ada kebijakan penyesuain ekonomi rakyat seperti mencekik leher,negative,-0.9653,"['keluhan', 'rakyat', 'dihiraukan', 'wakil', 'rakyat', 'kenaikan', 'listrik', 'kebijakan', 'penyesuain', 'ekonomi', 'rakyat', 'mencekik', 'leher']",keluhan rakyat dihiraukan wakil rakyat kenaikan listrik kebijakan penyesuain ekonomi rakyat mencekik leher
7682,2017-03-15T14:09:16.000Z,apa kebijakan Negara dalam menanggulangi kenakalan remaja anak dan bagaimana melindungi hak anak? Rakyatbertanya,apa kebijakan negara dalam menanggulangi kenakalan remaja anak dan bagaimana melindungi hak anak ? rakyatbertanya,negative,-0.8807,"['kebijakan', 'negara', 'menanggulangi', 'kenakalan', 'remaja', 'anak', 'melindungi', 'hak', 'anak', 'rakyatbertanya']",kebijakan negara menanggulangi kenakalan remaja anak melindungi hak anak rakyatbertanya
7686,2017-03-15T13:32:45.000Z,Tolak saja oom jgn ragu RUU Pertembakauan kok isinya sebagian besar ttg rokok TolakRUUP,tolak saja om jangan ragu RUU pertembakauan kok isinya sebagian besar tentang rokok tolakruup,negative,-0.5609,"['tolak', 'ragu', 'pertembakauan', 'isinya', 'rokok', 'tolakruup']",tolak ragu pertembakauan isinya rokok tolakruup
7687,2017-03-15T12:25:13.000Z,salah dari dulu eksekutif juga elected oleh anggota DPR DPRD mereka mewakili aspirasi rakyat,salah dari dulu eksekutif juga elected oleh anggota DPR DPRD mereka mewakili aspirasi rakyat,negative,-0.8225,"['salah', 'eksekutif', 'elected', 'dprd', 'mewakili', 'aspirasi', 'rakyat']",salah eksekutif elected dprd mewakili aspirasi rakyat
7695,2017-03-15T08:05:58.000Z,Ketika Novanto Cemberut hingga Anggota DPR yang Dituduh Kasus EKTP Izin Rapat Paripurna via,ketika novanto cemberut hingga anggota DPR yang dituduh kasus EKTP izin rapat paripurna via,negative,-0.8807,"['novanto', 'cemberut', 'dituduh', 'ektp', 'izin']",novanto cemberut dituduh ektp izin
7705,2017-03-15T04:54:15.000Z,TuitPekanbaru Hanya Dua Anggota DPR yang Dituduh Kasus e KTP Hadir ke Rapat Paripurna Pekanbaru Tuit,tuitpekanbaru hanya dua anggota DPR yang dituduh kasus e KTP hadir ke rapat paripurna pekanbaru tuit,negative,-0.2716,"['tuitpekanbaru', 'dituduh', 'ktp', 'hadir', 'pekanbaru', 'tuit']",tuitpekanbaru dituduh ktp hadir pekanbaru tuit
7709,2017-03-15T02:56:21.000Z,Menteri Kesehatan Tolak RUU Pertembakauan Rapat Buntu,menteri kesehatan tolak RUU pertembakauan rapat buntu,negative,-0.6808,"['menteri', 'kesehatan', 'tolak', 'pertembakauan', 'buntu']",menteri kesehatan tolak pertembakauan buntu
7710,2017-03-15T04:37:19.000Z,SekilasInfoGeFM wib Hanya Dua Anggota DPR yang Dituduh Kasus e KTP Hadir ke Rapat Paripurna,sekilasinfogefm wib hanya dua anggota DPR yang dituduh kasus e KTP hadir ke rapat paripurna,negative,-0.2716,"['sekilasinfogefm', 'wib', 'dituduh', 'ktp', 'hadir']",sekilasinfogefm wib dituduh ktp hadir
7720,2017-03-15T01:32:25.000Z,Komisi III DPR dalam kesempatan raker dengan KemenkumHAM Dirjen Imigrasi minta agar kebijakan bebas visa untuk di evaluasi,komisi II DPR dalam kesempatan raker dengan kemenkumham dirjen imigrasi meminta agar kebijakan bebas visa untuk di evaluasi,negative,-0.5267,"['komisi', 'kesempatan', 'raker', 'kemenkumham', 'dirjen', 'imigrasi', 'kebijakan', 'bebas', 'visa', 'evaluasi']",komisi kesempatan raker kemenkumham dirjen imigrasi kebijakan bebas visa evaluasi
7723,2017-03-14T16:03:48.000Z,Rosmah gesa wakil rakyat sokong RUU Kesalahan Seksual Kanak Kanak,rosmah gesa wakil rakyat sokong RUU kesalahan seksual kanak kanak,negative,-0.3818,"['rosmah', 'gesa', 'wakil', 'rakyat', 'sokong', 'kesalahan', 'seksual', 'kanak', 'kanak']",rosmah gesa wakil rakyat sokong kesalahan seksual kanak kanak
7726,2017-03-14T12:58:06.000Z,Mantap! Alasan Bahas RUU Pemilu Anggota DPR Pilih Kunker ke Bangka Pos Pemilu,mantap ! alasan bahas RUU pemilu anggota DPR pilih kunker ke bangka pos pemilu,negative,-0.2714,"['mantap', 'alasan', 'bahas', 'pemilu', 'pilih', 'kunker', 'bangka', 'pos', 'pemilu']",mantap alasan bahas pemilu pilih kunker bangka pos pemilu
7728,2017-03-14T09:52:42.000Z,Intinya klo bahas soal Tembakau asosiasinya lsg ke Rokok dan banyak sulap menyulap pdhl David Copperfield bkn Anggota DPR RI lho Cek,intinya jika bahas soal tembakau asosiasinya langsung ke rokok dan banyak sulap menyulap padahal david copperfield bukan anggota DPR RI lho cek,negative,-0.9153,"['intinya', 'bahas', 'tembakau', 'asosiasinya', 'langsung', 'rokok', 'sulap', 'menyulap', 'david', 'copperfield', 'lho', 'cek']",intinya bahas tembakau asosiasinya langsung rokok sulap menyulap david copperfield lho cek
7729,2017-03-14T09:28:42.000Z,Kompas namanya RUU Pertembakauan tp lbh banyak bicara ttg rokok TolakRUUP,kompas namanya RUU pertembakauan tetapi lebih banyak bicara tentang rokok tolakruup,negative,-0.5267,"['kompas', 'namanya', 'pertembakauan', 'bicara', 'rokok', 'tolakruup']",kompas namanya pertembakauan bicara rokok tolakruup
7741,2017-03-13T11:47:44.000Z,jangan cuman bikin twitter tapi gk di manfaatkan buat menampung aspirasi rakyat Ingaaaatttt citra DPR semakin lama semakin buruk,jangan cuman bikin twitter tetapi tidak di manfaatkan buat menampung aspirasi rakyat ingaatt citra DPR semakin lama semakin buruk,negative,-0.9019,"['cuman', 'bikin', 'manfaatkan', 'menampung', 'aspirasi', 'rakyat', 'ingaatt', 'citra', 'buruk']",cuman bikin manfaatkan menampung aspirasi rakyat ingaatt citra buruk
7744,2017-03-13T09:53:02.000Z,DPR Desak BPK Audit Kebijakan Bulog,DPR desak BPK audit kebijakan bulog,negative,-0.2437,"['desak', 'bpk', 'audit', 'kebijakan', 'bulog']",desak bpk audit kebijakan bulog
7745,2017-03-13T08:00:55.000Z,Reses Anggota DPR RI di desa Mandalahaji Kec Pacet Kab Bandung,reses anggota DPR RI di desa mandalahaji kec pacet kab bandung,negative,-0.368,"['reses', 'desa', 'mandalahaji', 'kec', 'pacet', 'kab', 'bandung']",reses desa mandalahaji kec pacet kab bandung
7754,2017-03-11T11:55:33.000Z,Sosialisasi Undang Undang RI No Tahun tentang Penyandang Disabilitas Sabtu,sosialisasi undang undang RI no tahun tentang penyandang disabilitas sabtu,negative,-0.1511,"['sosialisasi', 'undang', 'undang', 'penyandang', 'disabilitas', 'sabtu']",sosialisasi undang undang penyandang disabilitas sabtu
7757,2017-03-11T05:04:21.000Z,Reses Anggota DPR RI Haerudin Mengunjungi dan Menengok Guru sklgus Ketua Umum PP PERSIS KH A Zakaria pasca beliau sakit,reses anggota DPR RI haerudin mengunjungi dan menengok guru sklgus ketua umum PP PERSIS KAH a zakaria pasca beliau sakit,negative,-0.368,"['reses', 'haerudin', 'mengunjungi', 'menengok', 'guru', 'sklgus', 'ketua', 'persis', 'zakaria', 'pasca', 'beliau', 'sakit']",reses haerudin mengunjungi menengok guru sklgus ketua persis zakaria pasca beliau sakit
7766,2017-03-10T10:13:46.000Z,Jakarta Anggota DPR dari Komisi XI Kardaya Warnika mengakui penolakan dari rakyat akibat kebijakan kenaikan,jakarta anggota DPR dari komisi XI kardaya warnika mengakui penolakan dari rakyat akibat kebijakan kenaikan,negative,-0.1027,"['jakarta', 'komisi', 'kardaya', 'warnika', 'mengakui', 'penolakan', 'rakyat', 'akibat', 'kebijakan', 'kenaikan']",jakarta komisi kardaya warnika mengakui penolakan rakyat akibat kebijakan kenaikan
7767,2017-03-10T09:51:49.000Z,Anggota Komisi III DPR Nawafie Saleh Kebijakan Bebas Visa Perlu Dievaluasi,anggota komisi II DPR nawafie saleh kebijakan bebas visa perlu dievaluasi,negative,-0.516,"['komisi', 'nawafie', 'saleh', 'kebijakan', 'bebas', 'visa', 'dievaluasi']",komisi nawafie saleh kebijakan bebas visa dievaluasi
7769,2017-03-10T09:04:28.000Z,RUU Pertembakauan yang masih jadi bahan diskusi di DPR RI apa sih isinya? TolakRUUP,RUU pertembakauan yang masih jadi bahan diskusi di DPR RI apa sih isinya ? tolakruup,negative,-0.5766,"['pertembakauan', 'bahan', 'diskusi', 'sih', 'isinya', 'tolakruup']",pertembakauan bahan diskusi sih isinya tolakruup
7771,2017-03-10T00:40:02.000Z,BeritaKalteng Anggota Komisi II DPR RI Dapil Kal Teng Serap Aspirasi Dan Keluhan Atas Kebijakan HarianKalteng,beritakalteng anggota komisi II DPR RI dapil kal teng serap aspirasi dan keluhan atas kebijakan hariankalteng,negative,-0.6289,"['beritakalteng', 'komisi', 'dapil', 'kal', 'teng', 'serap', 'aspirasi', 'keluhan', 'kebijakan', 'hariankalteng']",beritakalteng komisi dapil kal teng serap aspirasi keluhan kebijakan hariankalteng
7774,2017-03-09T17:05:24.000Z,Anggota DPR RI Aditya Moha reses di Manado Politik,anggota DPR RI aditya moha reses di manado politik,negative,-0.368,"['aditya', 'moha', 'reses', 'manado', 'politik']",aditya moha reses manado politik
7779,2017-03-09T09:24:22.000Z,Dalam rangka reses anggota DPR RI kita hrs mengenal ttg budaya harapan cara penyelesaian agr penyerapan aspirasi tdk sekedar ceremonial,dalam rangka reses anggota DPR RI kita harus mengenal tentang budaya harapan cara penyelesaian agr penyerapan aspirasi tidak sekedar ceremonial,negative,-0.4588,"['rangka', 'reses', 'mengenal', 'budaya', 'harapan', 'penyelesaian', 'agr', 'penyerapan', 'aspirasi', 'sekedar', 'ceremonial']",rangka reses mengenal budaya harapan penyelesaian agr penyerapan aspirasi sekedar ceremonial
7793,2017-03-08T13:14:03.000Z,KUNKER RESES KOMISI XI DPR RI ADM PEMERINTAH DAN TOKOH AGAMA HARUS BERSINERGI,KUNKER RESES KOMISI XI DPR RI ADM PEMERINTAH DAN TOKOH AGAMA HARUS BERSINERGI,negative,-0.8555,"['kunker', 'reses', 'komisi', 'adm', 'pemerintah', 'tokoh', 'agama', 'bersinergi']",kunker reses komisi adm pemerintah tokoh agama bersinergi
7803,2017-03-07T07:49:30.000Z,Forum Legislasi tentang RUU Persaingan Usaha dengan tema Berantas Kartel Perlukah KPPU Diperkuat? di Media Center DPR RI ForlegDPR,forum legislasi tentang RUU persaingan usaha dengan tema berantas kartel perlukah KPPU diperkuat ? di media center DPR RI forlegdpr,negative,-0.2808,"['forum', 'legislasi', 'persaingan', 'usaha', 'tema', 'berantas', 'kartel', 'kppu', 'diperkuat', 'media', 'center', 'forlegdpr']",forum legislasi persaingan usaha tema berantas kartel kppu diperkuat media center forlegdpr
7812,2017-03-06T15:51:58.000Z,Berita Kawanua Reses Anggota DPR RI Djenri Keintjem Bertemu Pimpinan RRI Manado,berita kawanua reses anggota DPR RI djenri keintjem bertemu pimpinan RRI manado,negative,-0.7125,"['berita', 'kawanua', 'reses', 'djenri', 'keintjem', 'bertemu', 'pimpinan', 'rri', 'manado']",berita kawanua reses djenri keintjem bertemu pimpinan rri manado
7814,2017-03-06T13:00:33.000Z,Nasional Terkenal Tanjung Priok Rawan Narkoba Saat Reses Anggota DPR Warta Kota BPN_FreeDrug,nasional terkenal tanjung priok rawan narkoba saat reses anggota DPR warta kota bpn_freedrug,negative,-0.6369,"['nasional', 'terkenal', 'tanjung', 'priok', 'rawan', 'narkoba', 'reses', 'warta', 'kota']",nasional terkenal tanjung priok rawan narkoba reses warta kota
7824,2017-03-06T03:37:39.000Z,Julius Industri rokok ingin mempengaruhi kebijakan rokok tolakruup,julius industri rokok ingin mempengaruhi kebijakan rokok tolakruup,negative,-0.7783,"['julius', 'industri', 'rokok', 'mempengaruhi', 'kebijakan', 'rokok', 'tolakruup']",julius industri rokok mempengaruhi kebijakan rokok tolakruup
7828,2017-03-05T13:32:49.000Z,Namun alih memperkuat kebijakan pengendalian rokok DPR RI justru usulkan RUUPertembakauan yg dinilai lebih berat pd aspek produksi rokok,tetapi alih memperkuat kebijakan pengendalian rokok DPR RI justru usulkan ruupertembakauan yang dinilai lebih berat pada aspek produksi rokok,negative,-0.8402,"['alih', 'memperkuat', 'kebijakan', 'pengendalian', 'rokok', 'usulkan', 'ruupertembakauan', 'dinilai', 'berat', 'aspek', 'produksi', 'rokok']",alih memperkuat kebijakan pengendalian rokok usulkan ruupertembakauan dinilai berat aspek produksi rokok
7839,2017-03-02T07:21:44.000Z,Salut buat anggota dewan YTH walau masa reses tetap mau dtg hari ini ke gedung DPR tapi koq giliran sidang paripurna kursi ada yg kosong?,salut buat anggota dewan YTH walau masa reses tetap mau datang hari ini ke gedung DPR tetapi kok giliran sidang paripurna kursi ada yang kosong ?,negative,-0.7506,"['salut', 'dewan', 'yth', 'reses', 'gedung', 'giliran', 'sidang', 'kursi', 'kosong']",salut dewan yth reses gedung giliran sidang kursi kosong
7841,2017-03-02T07:12:30.000Z,Raja Arab Saudi Salman Bin Abdulaziz Al Saud meninggalkan Ruang Rapat Paripurna Gedung Nusantara DPR RI,raja arab saudi salman bin abdulaziz al saud meninggalkan ruang rapat paripurna gedung nusantara DPR RI,negative,-0.8225,"['raja', 'arab', 'saudi', 'salman', 'bin', 'abdulaziz', 'saud', 'meninggalkan', 'ruang', 'gedung', 'nusantara']",raja arab saudi salman bin abdulaziz saud meninggalkan ruang gedung nusantara
7842,2017-03-02T06:45:21.000Z,Raja Salman saat meninggalkan ruang rapat Paripurna gedung DPR RI ifakta,raja salman saat meninggalkan ruang rapat paripurna gedung DPR RI ifakta,negative,-0.8531,"['raja', 'salman', 'meninggalkan', 'ruang', 'gedung', 'ifakta']",raja salman meninggalkan ruang gedung ifakta
7843,2017-03-02T06:44:09.000Z,Hanya Raja Salman yg bisa membuat Anggota DPR RI Hadir full walau sedang reses,hanya raja salman yang bisa membuat anggota DPR RI hadir full walau sedang reses,negative,-0.5267,"['raja', 'salman', 'hadir', 'full', 'reses']",raja salman hadir full reses
7844,2017-03-02T06:33:38.000Z,Ruang Rapat Paripurna Gedung Nusantara menjadi tempat kunjungannya dihari kedua ini,ruang rapat paripurna gedung nusantara menjadi tempat kunjungannya dihari kedua ini,negative,-0.7783,"['ruang', 'gedung', 'nusantara', 'kunjungannya', 'dihari']",ruang gedung nusantara kunjungannya dihari
7845,2017-03-02T06:26:54.000Z,Detik detik Raja Salman memasuki Ruang Rapat Paripurna Gedung Nusantara DPR RI RajaSalmanKeDPR,detik detik raja salman memasuki ruang rapat paripurna gedung nusantara DPR RI rajasalmankedpr,negative,-0.368,"['detik', 'detik', 'raja', 'salman', 'memasuki', 'ruang', 'gedung', 'nusantara', 'rajasalmankedpr']",detik detik raja salman memasuki ruang gedung nusantara rajasalmankedpr
7846,2017-03-02T06:24:41.000Z,HANGATNYA SAMBUTAN UNTUK RAJA SALMAN DI DPR RI Suasana Gedung DPR RI siang inj berbeda Ruang Rapat Paripurna,HANGATNYA SAMBUTAN UNTUK RAJA SALMAN DI DPR RI suasana gedung DPR RI siang inj berbeda ruang rapat paripurna,negative,-0.186,"['hangatnya', 'sambutan', 'raja', 'salman', 'suasana', 'gedung', 'siang', 'inj', 'berbeda', 'ruang']",hangatnya sambutan raja salman suasana gedung siang inj berbeda ruang
7853,2017-03-02T05:53:31.000Z,Presiden Republik Indonesia Ke memasuki Ruang Rapat Paripurna Gedung DPR RI SpecialReport RajaSalman,presiden republik indonesia ke memasuki ruang rapat paripurna gedung DPR RI specialreport rajasalman,negative,-0.368,"['presiden', 'republik', 'indonesia', 'memasuki', 'ruang', 'gedung', 'specialreport', 'rajasalman']",presiden republik indonesia memasuki ruang gedung specialreport rajasalman
7859,2017-03-02T02:15:25.000Z,Jelas jelas melanggar Undang Undang ! Hak Angket jangan sampe masuk angin ya,jelas jelas melanggar undang undang ! hak angket jangan sampai masuk angin ya,negative,-0.8609,"['melanggar', 'undang', 'undang', 'hak', 'angket', 'masuk', 'angin']",melanggar undang undang hak angket masuk angin
7861,2017-03-02T01:13:39.000Z,Raja Salman akan Bertemu Pimpinan DPR Meski masa reses anggota DPR diimbau,raja salman akan bertemu pimpinan DPR meski masa reses anggota DPR diimbau,negative,-0.516,"['raja', 'salman', 'bertemu', 'pimpinan', 'reses', 'diimbau']",raja salman bertemu pimpinan reses diimbau
7862,2017-03-02T00:33:57.000Z,WIB Suasana diluar Ruang Rapat Paripurna Berdasarkan pantauan lokasi masih sepi dan sudah dipenuhi hiasan bunga red carpet,WIB suasana diluar ruang rapat paripurna berdasarkan pantauan lokasi masih sepi dan sudah dipenuhi hiasan bunga red carpet,negative,-0.1027,"['wib', 'suasana', 'diluar', 'ruang', 'berdasarkan', 'pantauan', 'lokasi', 'sepi', 'dipenuhi', 'hiasan', 'bunga', 'red', 'carpet']",wib suasana diluar ruang berdasarkan pantauan lokasi sepi dipenuhi hiasan bunga red carpet
7866,2017-03-01T11:16:14.000Z,Jember Rabi Akibat kekecewaan merasa tidak dihargai Ketua DPC Nasdem Dapil V Jember Bambang Kusaeri naik,jember rabi akibat kekecewaan merasa tidak dihargai ketua DPC nasdem dapil v jember bambang kusaeri naik,negative,-0.8555,"['jember', 'rabi', 'akibat', 'kekecewaan', 'dihargai', 'ketua', 'dpc', 'nasdem', 'dapil', 'jember', 'bambang', 'kusaeri']",jember rabi akibat kekecewaan dihargai ketua dpc nasdem dapil jember bambang kusaeri
7869,2017-03-01T05:00:14.000Z,DPR RI mati KUTU hadapi kebijakan kebijakan pemerintah yang paling kecil ketika Ahok di angkat lagi Gubernur,DPR RI mati KUTU hadapi kebijakan kebijakan pemerintah yang paling kecil ketika ahok di angkat lagi gubernur,negative,-0.6289,"['mati', 'kutu', 'hadapi', 'kebijakan', 'kebijakan', 'pemerintah', 'ahok', 'angkat', 'gubernur']",mati kutu hadapi kebijakan kebijakan pemerintah ahok angkat gubernur
7875,2017-02-28T21:24:58.000Z,Tolong ditinjau kembali undang undang penganiyaan Mengambil lahan org lain secara paksa sama saja merampas kemerdekaan hak org,tolong ditinjau kembali undang undang penganiyaan mengambil lahan orang lain secara paksa sama saja merampas kemerdekaan hak orang,negative,-0.802,"['tolong', 'ditinjau', 'undang', 'undang', 'penganiyaan', 'mengambil', 'lahan', 'orang', 'paksa', 'merampas', 'kemerdekaan', 'hak', 'orang']",tolong ditinjau undang undang penganiyaan mengambil lahan orang paksa merampas kemerdekaan hak orang
7876,2017-02-28T21:20:44.000Z,kepada yth bpk dewan perwakilan rakyat Soal undang undang penganiyaan kayanya ada yg kurang Tolong ditinjau,kepada yth bpk dewan perwakilan rakyat soal undang undang penganiyaan kayanya ada yang kurang tolong ditinjau,negative,-0.5709,"['yth', 'bpk', 'dewan', 'perwakilan', 'rakyat', 'undang', 'undang', 'penganiyaan', 'kayanya', 'tolong', 'ditinjau']",yth bpk dewan perwakilan rakyat undang undang penganiyaan kayanya tolong ditinjau
7877,2017-02-28T17:15:22.000Z,TuitPalembang Rombongan Komisi IX DPR RI Reses ke OKI Palembang Tuit,tuitpalembang rombongan komisi IX DPR RI reses ke OKI palembang tuit,negative,-0.7125,"['tuitpalembang', 'rombongan', 'komisi', 'reses', 'oki', 'palembang', 'tuit']",tuitpalembang rombongan komisi reses oki palembang tuit
7890,2017-02-28T05:56:07.000Z,Dewan Guru Serta Siswa Di Bandar Sribhawono Sangat Kecewa Jadwal Reses Komisi X DPR RI Bandar Lampung Lampung,dewan guru serta siswa di bandar sribhawono sangat kecewa jadwal reses komisi kali DPR RI bandar lampung lampung,negative,-0.4391,"['dewan', 'guru', 'siswa', 'bandar', 'sribhawono', 'kecewa', 'jadwal', 'reses', 'komisi', 'kali', 'bandar', 'lampung', 'lampung']",dewan guru siswa bandar sribhawono kecewa jadwal reses komisi kali bandar lampung lampung
7892,2017-02-28T05:17:21.000Z,Anggota DPR RI Reses Iskandar Jelaskan Kondisi OKI Canda dan tawa terlontar dari orang Nomor One di Bumi Bende,anggota DPR RI reses iskandar jelaskan kondisi OKI canda dan tawa terlontar dari orang nomor one di bumi bende,negative,-0.6289,"['reses', 'iskandar', 'kondisi', 'oki', 'canda', 'tawa', 'terlontar', 'orang', 'nomor', 'one', 'bumi', 'bende']",reses iskandar kondisi oki canda tawa terlontar orang nomor one bumi bende
7899,2017-02-27T17:18:12.000Z,UUDNaskahAsli Jika sesuatu rancangan undang undang tidak mendapat persetujuan Dewan Perwakilan Rakyat,uudnaskahasli jika sesuatu rancangan undang undang tidak mendapat persetujuan dewan perwakilan rakyat,negative,-0.8306,"['uudnaskahasli', 'rancangan', 'undang', 'undang', 'persetujuan', 'dewan', 'perwakilan', 'rakyat']",uudnaskahasli rancangan undang undang persetujuan dewan perwakilan rakyat
7901,2017-02-27T17:17:10.000Z,UUDNaskahAsli BAB VII DEWAN PERWAKILAN RAKYAT Pasal Susunan Dewan Perwakilan Rakyat ditetapkan dengan undang undang,uudnaskahasli BAB VII DEWAN PERWAKILAN RAKYAT pasal susunan dewan perwakilan rakyat ditetapkan dengan undang undang,negative,-0.7125,"['uudnaskahasli', 'bab', 'vii', 'dewan', 'perwakilan', 'rakyat', 'pasal', 'susunan', 'dewan', 'perwakilan', 'rakyat', 'ditetapkan', 'undang', 'undang']",uudnaskahasli bab vii dewan perwakilan rakyat pasal susunan dewan perwakilan rakyat ditetapkan undang undang
7902,2017-02-27T17:01:43.000Z,UUDNaskahAsli Pasal Presiden memegang kekuasaan membentuk undang undang dengan persetujuan Dewan Perwakilan Rakyat,uudnaskahasli pasal presiden memegang kekuasaan membentuk undang undang dengan persetujuan dewan perwakilan rakyat,negative,-0.6369,"['uudnaskahasli', 'pasal', 'presiden', 'memegang', 'kekuasaan', 'membentuk', 'undang', 'undang', 'persetujuan', 'dewan', 'perwakilan', 'rakyat']",uudnaskahasli pasal presiden memegang kekuasaan membentuk undang undang persetujuan dewan perwakilan rakyat
7903,2017-02-27T16:01:48.000Z,DPR INDEPENDEN Pa jadi anggota DPR harus dari Parpol ya? Gak juga Sekarang udah ada kebijakan baru anggota DPR non Parpol DanSemuaDiam,DPR INDEPENDEN apa jadi anggota DPR harus dari parpol ya ? tidak juga sekarang sudah ada kebijakan baru anggota DPR non parpol dansemuadiam,negative,-0.8986,"['independen', 'parpol', 'kebijakan', 'non', 'parpol', 'dansemuadiam']",independen parpol kebijakan non parpol dansemuadiam
7912,2017-02-27T08:57:25.000Z,Bagaimana perspektif Ketua Pansus RUU Terorisme dalam memandang HAM dan Perlindungan Korban?,bagaimana perspektif ketua pansus RUU terorisme dalam memandang HAM dan perlindungan korban ?,negative,-0.2247,"['perspektif', 'ketua', 'pansus', 'terorisme', 'memandang', 'ham', 'perlindungan', 'korban']",perspektif ketua pansus terorisme memandang ham perlindungan korban
7913,2017-02-27T08:55:27.000Z,Sekarang Diskusi Publik Memastikan Perlindungan HAM dan RUU Pemberantasan TP Terorisme,sekarang diskusi publik memastikan perlindungan HAM dan RUU pemberantasan TETAPI terorisme,negative,-0.6611,"['diskusi', 'publik', 'perlindungan', 'ham', 'pemberantasan', 'terorisme']",diskusi publik perlindungan ham pemberantasan terorisme
7922,2017-02-26T05:49:12.000Z,Kerja untuk rakyat Melebarkan sayap reses ke Pandeglang,kerja untuk rakyat melebarkan sayap reses ke pandeglang,negative,-0.3818,"['kerja', 'rakyat', 'melebarkan', 'sayap', 'reses', 'pandeglang']",kerja rakyat melebarkan sayap reses pandeglang
7924,2017-02-25T08:14:49.000Z,Petugas kebersihan terus membersihkan ruang Rapat Paripurna Gedung Nusantara DPR RI SisiLainDPR,petugas kebersihan terus membersihkan ruang rapat paripurna gedung nusantara DPR RI sisilaindpr,negative,-0.9265,"['petugas', 'kebersihan', 'membersihkan', 'ruang', 'gedung', 'nusantara', 'sisilaindpr']",petugas kebersihan membersihkan ruang gedung nusantara sisilaindpr
7925,2017-02-25T07:36:19.000Z,Pidato Raja Saudi Salman bin Abdulaziz Al Saud akan dilaksanakan di Ruang Rapat Paripurna Gedung Nusantara DPR RI SisiLainDPR,pidato raja saudi salman bin abdulaziz al saud akan dilaksanakan di ruang rapat paripurna gedung nusantara DPR RI sisilaindpr,negative,-0.5267,"['pidato', 'raja', 'saudi', 'salman', 'bin', 'abdulaziz', 'saud', 'dilaksanakan', 'ruang', 'gedung', 'nusantara', 'sisilaindpr']",pidato raja saudi salman bin abdulaziz saud dilaksanakan ruang gedung nusantara sisilaindpr
